0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2019-20,9,742,-,-,163,82,80,-,5,-,-,1,232-132,.637,82.4
2020-21,6,516,-,-,171,81,81,-,4,-,1,2,80-39,.672,86.0
Totals,15,1258,-,-,163,81,80,-,9,-,1,3,312-171,.646,83.9
