Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Tyree, Daja",FR-1,16.14,2014 Midwest Conference T&F Championships,"May 9, 2014",-1.4
,"Tyree, Daja",FR-1,16.4,2014 Midwest Conference T&F Championships,"May 9, 2014",-2.0
,"Bresette-Buccino, Nora",SO-2,16.85,2014 Midwest Conference T&F Championships,"May 9, 2014",0.3
,"Tyree, Daja",FR-1,16.85,2014 Jim Duncan Invitational,"Apr 11, 2014",-3.0
,"Bresette-Buccino, Nora",SO-2,17.05,2014 Midwest Conference T&F Championships,"May 9, 2014",-2.0
,"Bresette-Buccino, Nora",SO-2,17.05,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014",1.4
,"Tyree, Daja",FR-1,17.12,Wartburg Outdoor Twilight,"Apr 22, 2014",1.7
,"Tyree, Daja",FR-1,17.12,2014 Kip Janvrin Open,"Apr 24, 2014",-1.3
,"Bresette-Buccino, Nora",SO-2,17.34,2014 Jim Duncan Invitational,"Apr 11, 2014",-2.7
,"Bresette-Buccino, Nora",SO-2,17.36,2014 Kip Janvrin Open,"Apr 24, 2014",-2.9
,"Tyree, Daja",FR-1,17.51,Cornell College Invitational,"Apr 5, 2014",0.4
,"Bresette-Buccino, Nora",SO-2,17.61,Cornell College Invitational,"Apr 5, 2014",0.4
,"Bresette-Buccino, Nora",SO-2,17.69,Emory Invitational,"Mar 21, 2014",-0.2
,"Tyree, Daja",FR-1,18.59,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014",0.4
