Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Fritts, Rachel",SR-4,1:08.71,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014"
,"Bresette-Buccino, Nora",SO-2,1:12.46,Wartburg Outdoor Twilight,"Apr 22, 2014"
,"Fritts, Rachel",SR-4,1:12.92,2014 Midwest Conference T&F Championships,"May 9, 2014"
,"Fritts, Rachel",SR-4,1:13.03,2014 Jim Duncan Invitational,"Apr 11, 2014"
,"Bresette-Buccino, Nora",SO-2,1:13.54,2014 Midwest Conference T&F Championships,"May 9, 2014"
,"Fritts, Rachel",SR-4,1:14.25,Cornell College Invitational,"Apr 5, 2014"
,"Bresette-Buccino, Nora",SO-2,1:14.97,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014"
,"Bresette-Buccino, Nora",SO-2,1:15.23,Cornell College Invitational,"Apr 5, 2014"
,"Bresette-Buccino, Nora",SO-2,1:15.29,Emory Invitational,"Mar 21, 2014"
,"Bresette-Buccino, Nora",SO-2,1:15.31,2014 Jim Duncan Invitational,"Apr 11, 2014"
,"Bresette-Buccino, Nora",SO-2,1:15.75,2014 Kip Janvrin Open,"Apr 24, 2014"
,"Seer, Diana",JR-3,1:21.57,Cornell College Invitational,"Apr 5, 2014"
