0,1,2,3,4
,,,Low,
Season,Rounds,Strokes,Round,Average
2016-17,-,-,-,-
2017-18,8,873,98,109.1
2018-19,10,1011,95,101.1
2019-20,2.5,251,97,100.4
Totals,20.5,2135,95,104.1
