0,1,2,3,4
,,,Low,
Season,Rounds,Strokes,Round,Average
2016-17,11,1310,113,119.1
2017-18,10,1048,98,104.8
2018-19,11,1073,86,97.5
2019-20,2.5,253,97,101.2
Totals,34.5,3684,86,106.8
