Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Oliveira, Casey",FR-1,6.37m,"20' 10.75""",Midwest Conference Outdoor Championships,"May 10, 2024",1.5
,"Oliveira, Casey",FR-1,6.26m,"20' 6.5""",Midwest Conference Outdoor Championships,"May 10, 2024",1.9
,"Oliveira, Casey",FR-1,6.25m,"20' 6.25""",Monmouth College Fighting Scots Invite,"May 4, 2024",1.9
,"Oliveira, Casey",FR-1,6.24m,"20' 5.75""",2024 Kip Janvrin Open,"Apr 25, 2024",1.7
,"Oliveira, Casey",FR-1,6.17m,"20' 3""",2024 Kip Janvrin Open,"Apr 25, 2024",1.9
,"Oliveira, Casey",FR-1,6.13m,"20' 1.5""",2024 Kip Janvrin Open,"Apr 25, 2024",1.7
,"Reed, Jack",FR-1,5.96m,"19' 6.75""",Monmouth College Fighting Scots Invite,"May 4, 2024",2.0
,"Reed, Jack",FR-1,5.93m,"19' 5.5""",Midwest Conference Outdoor Championships,"May 10, 2024",1.9
,"Oliveira, Casey",FR-1,5.92m,"19' 5.25""",Midwest Conference Outdoor Championships,"May 10, 2024",1.1
,"Oliveira, Casey",FR-1,5.89m,"19' 4""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.9
,"Reed, Jack",FR-1,5.79m,"19' 0""",Monmouth College Fighting Scots Invite,"May 4, 2024",1.8
,"Oliveira, Casey",FR-1,5.78m,"18' 11.75""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024",1.6
,"Dykstra, Murphy",FR-1,5.72m,"18' 9.25""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.9
,"Reed, Jack",FR-1,5.66m,"18' 7""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024",1.1
,"Reed, Jack",FR-1,5.65m,"18' 6.5""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024",1.2
,"Oliveira, Casey",FR-1,5.64m,"18' 6""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.2
,"Dykstra, Murphy",FR-1,5.63m,"18' 5.75""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.6
,"Dykstra, Murphy",FR-1,5.56m,"18' 3""",Midwest Conference Outdoor Championships,"May 10, 2024",0.0
,"Reed, Jack",FR-1,5.53m,"18' 1.75""",2024 Kip Janvrin Open,"Apr 25, 2024",1.6
,"Reed, Jack",FR-1,5.50m,"18' 0.5""",Cornell Invitational,"Apr 6, 2024",-0.7
,"Dykstra, Murphy",FR-1,5.49m,"18' 0.25""",Midwest Conference Outdoor Championships,"May 10, 2024",1.0
,"Dykstra, Murphy",FR-1,5.48m,"17' 11.75""",2024 Kip Janvrin Open,"Apr 25, 2024",1.9
,"Reed, Jack",FR-1,5.41m,"17' 9""",2024 Kip Janvrin Open,"Apr 25, 2024",1.1
,"Dykstra, Murphy",FR-1,5.40m,"17' 8.75""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024",1.7
,"Reed, Jack",FR-1,5.37m,"17' 7.5""",Cornell Invitational,"Apr 6, 2024",-2.3
,"Oliveira, Casey",FR-1,5.37m,"17' 7.5""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024",1.6
,"Dykstra, Murphy",FR-1,5.26m,"17' 3.25""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024",1.6
,"Reed, Jack",FR-1,5.25m,"17' 2.75""",Cornell Invitational,"Apr 6, 2024",-1.2
,"Dykstra, Murphy",FR-1,3.95m,"12' 11.5""",2024 Kip Janvrin Open,"Apr 25, 2024",1.7
