Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Hansen, Pieter",,4:38.48,Wartburg Indoor Invite,"Feb 18, 2017"
,"Hansen, Pieter",,4:40.18,Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Gregorich-Trevor, Connor",,4:40.48,Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Gregorich-Trevor, Connor",,4:41.13,Wartburg Indoor Invite,"Feb 18, 2017"
,"Phipps, Matthew",FR-1,4:44.62,Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"O'Reilly, Sean",,4:44.78,2017 Darren Young Classic,"Feb 11, 2017"
,"Gregorich-Trevor, Connor",,4:46.22,2017 Darren Young Classic,"Feb 11, 2017"
,"Phipps, Matthew",,4:49.36,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
,"Phipps, Matthew",,4:55.06,Wartburg Indoor Invite,"Feb 18, 2017"
,"Hansen, Pieter",SO-2,5:02.15,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
,"Monovich, Alexander",JR-3,5:14.90,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
,"Sokolsky, Sam",SR-4,5:20.20,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
,"Yardas, Olek",FR-1,5:29.14,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
,"Mulligan, Connor",SR-4,5:44.68,2017 Grinnell Indoor Invitational,"Feb 4, 2017"
