Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Henderson, Erik",SO-2,1.82m,"5' 11.5""",Wartburg Indoor Invite,"Feb 18, 2017"
,"Henderson, Erik",SO-2,1.79m,"5' 10.5""",Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Henderson, Erik",SO-2,1.77m,"5' 9.75""",Wartburg Indoor Invite,"Feb 18, 2017"
,"Henderson, Erik",SO-2,1.74m,"5' 8.5""",Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Henderson, Erik",SO-2,1.72m,"5' 7.75""",Wartburg Indoor Invite,"Feb 18, 2017"
,"Huelskamp, Ethan",FR-1,1.69m,"5' 6.5""",Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Henderson, Erik",SO-2,1.69m,"5' 6.5""",Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Huelskamp, Ethan",FR-1,1.64m,"5' 4.5""",Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Henderson, Erik",SO-2,1.64m,"5' 4.5""",Midwest Indoor Track & Field Championships,"Feb 24, 2017"
,"Henderson, Erik",SO-2,1.62m,"5' 3.75""",Wartburg Indoor Invite,"Feb 18, 2017"
,"Henderson, Erik",SO-2,1.57m,"5' 1.75""",Wartburg Indoor Invite,"Feb 18, 2017"
