Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Shults, Andrew",,23.22,2017 Darren Young Classic,"Feb 11, 2017",0.0
,"Shults, Andrew",SO-2,23.31,2017 Grinnell Indoor Invitational,"Feb 4, 2017",0.0
,"Henderson, Erik",SO-2,23.8,Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
,"Henderson, Erik",,23.86,2017 Grinnell Indoor Invitational,"Feb 4, 2017",0.0
,"Henderson, Erik",SO-2,24.04,2017 Darren Young Classic,"Feb 11, 2017",0.0
,"Braun, Jonathan",JR-3,24.32,2017 Grinnell Indoor Invitational,"Feb 4, 2017",0.0
,"Scott, Chip",SO-2,24.81,Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
,"Ampim-Darko, Papa Kojo",FR-1,25.18,2017 Darren Young Classic,"Feb 11, 2017",0.0
,"Scott, Chip",SO-2,25.19,2017 Darren Young Classic,"Feb 11, 2017",0.0
,"Miller, Josh",FR-1,26.29,Midwest Indoor Track & Field Championships,"Feb 24, 2017",0.0
