Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
3/17/2015,at,Redlands,L,3-12,4.0,14,12,7,1,0,5,1,2,0,0,1,0,0,1,0,12.25
3/17/2015,at,Redlands,L,5-11,6.0,14,11,6,2,1,2,2,0,0,0,0,0,0,2,0,7.0
3/18/2015,vs,Augsburg College,L,2-11,5.0,14,11,8,1,1,5,0,0,0,0,0,0,0,3,0,11.2
3/18/2015,vs,Augsburg College,L,4-7,6.0,14,7,7,0,1,3,0,2,0,0,1,0,0,4,0,8.17
3/20/2015,at,Pomona-Pitzer,L,1-10,4.0,15,10,10,0,0,0,1,1,0,0,0,0,0,5,0,17.5
3/21/2015,vs,Hamline University,L,1-9,5.0,9,9,8,5,1,0,0,0,0,0,1,0,0,6,0,11.2
3/21/2015,vs,Hamline University,L,5-8,6.0,13,8,3,0,2,3,0,2,1,0,0,0,0,7,0,3.5
3/25/2015,at,MacMurray College,L,2-8,6.0,12,8,7,2,2,2,0,1,0,0,0,0,0,8,0,8.17
3/26/2015,at,Greenville,L,8-9,6.1,15,9,4,0,1,2,1,0,0,0,0,0,0,9,0,4.42
3/26/2015,at,Greenville,L,5-10,6.0,15,10,10,1,3,4,1,0,1,0,0,0,0,10,0,11.67
3/28/2015,at,AIB College of Bus.,L,5-13,4.0,13,13,10,0,0,3,0,2,1,0,1,0,0,11,0,17.5
3/28/2015,at,AIB College of Bus.,L,7-8,6.0,11,8,7,1,2,2,0,1,0,0,0,0,0,12,0,8.17
4/2/2015,,Westminster College,L,5-9,7.0,13,9,8,0,1,3,0,0,0,0,1,0,0,13,0,8.0
4/2/2015,,Westminster College,L,8-10,7.0,11,10,8,1,4,3,0,0,0,0,0,0,0,14,0,8.0
4/4/2015,,Mount Mercy Univ.,L,4-10,7.0,12,10,6,0,2,3,0,2,1,0,1,0,0,15,0,6.0
4/4/2015,,Mount Mercy Univ.,L,1-8,7.0,13,8,4,0,1,3,0,3,0,0,0,0,0,16,0,4.0
4/10/2015,vs,Beloit College,L,10-13,6.0,13,13,8,3,1,3,0,1,2,0,0,0,0,17,0,9.33
4/10/2015,vs,Lawrence University,L,4-17,7.0,20,17,17,3,4,5,0,2,0,0,2,0,0,18,0,17.0
4/11/2015,vs,Ripon College,W,10-0,5.0,2,0,0,0,3,0,0,0,1,0,0,0,1,18,0,0.0
4/12/2015,vs,St. Norberet College,W,13-9,7.0,12,9,7,1,2,4,0,1,2,0,0,0,2,18,0,7.0
4/12/2015,vs,Carroll University,L,3-13,5.0,16,13,10,7,2,4,0,0,2,0,0,0,2,19,0,14.0
4/15/2015,,Cornell College,L,1-16,6.0,18,16,9,2,2,0,1,0,0,0,1,0,2,20,0,10.5
4/15/2015,,Cornell College,L,0-11,5.0,13,11,11,1,1,3,1,0,2,0,0,0,2,21,0,15.4
4/18/2015,at,Knox College,W,15-5,5.0,9,5,2,2,4,0,1,0,0,0,1,0,3,21,0,2.8
4/18/2015,at,Knox College,L,1-2,6.0,8,2,2,0,2,1,1,0,0,0,0,0,3,22,0,2.33
4/19/2015,at,Illinois College,W,5-4,7.0,14,4,4,0,5,3,0,0,0,0,2,0,4,22,0,4.0
4/19/2015,at,Illinois College,W,6-1,6.0,5,1,1,4,3,0,0,0,0,0,0,0,5,22,0,1.17
4/21/2015,,Iowa Wesleyan,W,3-2,7.0,7,2,2,1,1,2,0,0,0,0,0,0,6,22,0,2.0
4/21/2015,,Iowa Wesleyan,L,6-10,7.0,15,10,8,1,5,3,3,0,0,0,0,0,6,23,0,8.0
4/25/2015,,Lake Forest College,L,0-2,7.0,5,2,2,4,4,2,2,0,0,0,0,0,6,24,0,2.0
4/25/2015,,Lake Forest College,L,1-6,7.0,11,6,5,3,1,1,2,1,0,0,0,0,6,25,0,5.0
4/26/2015,,Monmouth College,L,0-2,7.0,8,2,2,1,1,0,0,0,0,0,0,0,6,26,0,2.0
4/26/2015,,Monmouth College,L,5-12,7.0,17,12,10,3,0,2,1,0,0,0,0,0,6,27,0,10.0
4/28/2015,at,Buena Vista,L,1-10,4.0,9,10,9,2,4,2,0,1,3,0,0,0,6,28,0,15.75
4/28/2015,at,Buena Vista,L,2-10,4.2,13,10,8,2,4,5,1,0,1,0,0,0,6,29,0,12.0
Total,,,,152-298,207.3,423,298,230,54,71,83,19,22,17,0,12,0,6,29,0,
