Player,2,3,4,5+,Total
"Juveland, Sage",10,3,1,-,14
"Morrissey, Kayla",10,3,1,-,14
"Stariha, Lydia",10,3,-,-,13
"Weber, Kristina",7,2,1,-,10
"Leff, Andi",9,-,-,-,9
"Anderson, Melissa",6,-,-,-,6
"Gibson, Megan",2,2,-,-,4
"Remus, Maggie",3,-,-,-,3
TEAM,57,13,3,0,73
