Player,2,3,4,5+,Total
"Anderson, Melissa",5,-,-,1,6
"Juveland, Sage",4,-,-,1,5
"Gibson, Megan",2,3,-,-,5
"Morrissey, Kayla",1,3,1,-,5
"Leff, Andi",3,-,1,-,4
"Weber, Kristina",2,1,-,-,3
"Remus, Maggie",1,-,-,-,1
TEAM,18,7,2,2,29
