#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
17.0,"Remus, Maggie 17 Remus, Maggie",204,171,26,7,0.966,5,22,2,0,0,View Bio
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",118,56,57,5,0.958,2,13,4,6,0,View Bio
8.0,"Juveland, Sage 8 Juveland, Sage",62,51,8,3,0.952,1,0,0,0,0,View Bio
11.0,"Gibson, Megan 11 Gibson, Megan",163,117,38,8,0.951,0,2,0,0,0,View Bio
18.0,"Stariha, Lydia 18 Stariha, Lydia",111,80,24,7,0.937,1,41,3,9,0,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",105,29,66,10,0.905,2,30,5,0,0,View Bio
4.0,"Leff, Andi 4 Leff, Andi",36,32,0,4,0.889,0,0,0,0,0,View Bio
16.0,"Matosky, Jordan 16 Matosky, Jordan",150,67,65,18,0.88,1,0,0,0,0,View Bio
7.0,"Weber, Kristina 7 Weber, Kristina",20,17,0,3,0.85,0,0,0,0,0,View Bio
3.0,3  3 3,5,4,0,1,0.8,0,0,0,0,0,
15.0,15  15 15,0,0,0,0,0.0,0,0,0,0,0,
,Totals,974,624,284,66,0.932,7,108,14,15,0,
,Opponents,996,661,277,58,0.942,11,42,12,15,1,
