#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
8.0,"Juveland, Sage 8 Juveland, Sage",28,23,5,0,1.0,1,0,0,0,0,View Bio
17.0,"Remus, Maggie 17 Remus, Maggie",85,72,12,1,0.988,2,11,2,0,0,View Bio
11.0,"Gibson, Megan 11 Gibson, Megan",87,66,18,3,0.966,0,1,0,0,0,View Bio
4.0,"Leff, Andi 4 Leff, Andi",20,19,0,1,0.95,0,0,0,0,0,View Bio
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",58,25,30,3,0.948,1,2,2,1,0,View Bio
18.0,"Stariha, Lydia 18 Stariha, Lydia",58,45,8,5,0.914,0,23,2,4,0,View Bio
7.0,"Weber, Kristina 7 Weber, Kristina",9,8,0,1,0.889,0,0,0,0,0,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",49,14,29,6,0.878,0,13,2,0,0,View Bio
16.0,"Matosky, Jordan 16 Matosky, Jordan",60,25,27,8,0.867,0,0,0,0,0,View Bio
3.0,3  3 3,0,0,0,0,0.0,0,0,0,0,0,
,Totals,454,297,129,28,0.938,4,50,8,5,0,
,Opponents,478,307,134,37,0.923,12,24,4,5,1,
