Player,Longest,Current
"Juveland, Sage",15,1
"Morrissey, Kayla",14,1
"Stariha, Lydia",13,4
"Leff, Andi",12,2
"Gibson, Megan",9,-
"Weber, Kristina",8,1
"Anderson, Melissa",7,-
"Remus, Maggie",6,-
"Matosky, Jordan",4,3
3,1,1
