#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",0.456,1.035,16-16,57,10,26,2,1,1,11,33,0.579,0,0,1,0,0.456,0,0,2-2,View Bio
8.0,"Juveland, Sage 8Juveland, Sage",0.434,1.011,16-16,53,11,23,1,1,1,14,29,0.547,3,0,0,1,0.464,0,1,4-4,View Bio
7.0,"Weber, Kristina 7Weber, Kristina",0.354,0.847,16-16,48,7,17,3,2,0,9,24,0.5,0,0,11,1,0.347,1,2,0-0,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",0.313,0.843,16-16,48,9,15,0,1,2,11,23,0.479,5,0,5,0,0.364,2,0,0-0,View Bio
18.0,"Stariha, Lydia 18Stariha, Lydia",0.305,0.684,16-16,59,12,18,3,0,0,2,21,0.356,2,0,3,0,0.328,0,1,6-7,View Bio
17.0,"Remus, Maggie 17 Remus, Maggie",0.261,0.618,16-16,46,4,12,2,0,0,3,14,0.304,4,0,4,0,0.314,1,2,0-0,View Bio
16.0,"Matosky, Jordan 16Matosky, Jordan",0.171,0.415,16-16,41,5,7,0,0,0,4,7,0.171,3,1,6,0,0.244,0,3,0-1,View Bio
4.0,"Leff, Andi 4 Leff, Andi",0.163,0.533,16-16,49,11,8,0,1,1,7,13,0.265,4,3,8,0,0.268,0,4,0-0,View Bio
11.0,"Gibson, Megan 11Gibson, Megan",0.146,0.503,16-16,41,10,6,2,0,0,6,8,0.195,9,1,3,0,0.308,1,0,0-0,View Bio
,Totals,0.299,0.735,16-16,442,79,132,13,6,5,67,172,0.389,30,5,41,2,0.346,5,13,12-14,
,Opponents,0.381,0.947,16-16,485,124,185,30,11,5,114,252,0.52,36,6,36,0,0.427,5,7,25-29,
