Statistic,High,Player,Opponent
AT BATS,5,Lydia Stariha; Sage Juveland,Greenville (3/26/2015); Beloit College (4/10/2015); St. Norberet College (4/12/2015)
RUNS SCORED,3,Lydia Stariha; Andi Leff,Iowa Wesleyan (4/21/2015); AIB College of Bus. (3/28/2015); Knox College (4/18/2015)
HITS,4,Kristina Weber; Kayla Morrissey; Sage Juveland,Westminster College (4/2/2015); Greenville (3/26/2015); Beloit College (4/10/2015)
RBIS,5,Melissa Anderson; Sage Juveland,Beloit College (4/10/2015); Ripon College (4/11/2015)
DOUBLES,2,Melissa Anderson,Westminster College (4/2/2015)
TRIPLES,1,Lydia Stariha; Maggie Remus; Sage Juveland; Melissa Anderson; Kristina Weber,Westminster College (4/2/2015); Mount Mercy Univ. (4/4/2015); Mount Mercy Univ. (4/4/2015); Carroll University (4/12/2015); Cornell College (4/15/2015)
HOME RUNS,2,Kayla Morrissey; Sage Juveland,Iowa Wesleyan (4/21/2015); MacMurray College (3/25/2015)
WALKS,2,Kristina Weber; Lydia Stariha; Megan Gibson; Melissa Anderson; Sage Juveland,Mount Mercy Univ. (4/4/2015); St. Norberet College (4/12/2015); Knox College (4/18/2015); Knox College (4/18/2015); Illinois College (4/19/2015)
STRIKEOUTS,3,Andi Leff,Lake Forest College (4/25/2015)
SAC HITS,2,Andi Leff,Iowa Wesleyan (4/21/2015); Illinois College (4/19/2015)
SAC FLIES,1,Kristina Weber; Andi Leff; Megan Gibson; Kayla Morrissey,Lawrence University (4/10/2015); Redlands (3/17/2015); Redlands (3/17/2015); Augsburg College (3/18/2015); Pomona-Pitzer (3/20/2015)
STOLEN BASES,2,Sage Juveland; Lydia Stariha,Westminster College (4/2/2015); Mount Mercy Univ. (4/4/2015); Carroll University (4/12/2015); Monmouth College (4/26/2015)
HIT BY PITCH,1,Jordan Matosky; Andi Leff; Megan Gibson,Augsburg College (3/18/2015); Iowa Wesleyan (4/21/2015); Iowa Wesleyan (4/21/2015); Lake Forest College (4/25/2015); Redlands (3/17/2015)
CAUGHT STEALING,1,Lydia Stariha; Jordan Matosky,Augsburg College (3/18/2015); Mount Mercy Univ. (4/4/2015); Monmouth College (4/26/2015); Augsburg College (3/18/2015); Beloit College (4/10/2015)
HIT INTO DP,1,Lydia Stariha; Kristina Weber; Kayla Morrissey; Sage Juveland,Westminster College (4/2/2015); Mount Mercy Univ. (4/4/2015); Cornell College (4/15/2015); Cornell College (4/15/2015); Monmouth College (4/26/2015)
