Player,Longest,Current
"Morrissey, Kayla",14,1
"Stariha, Lydia",13,-
"Juveland, Sage",11,-
"Leff, Andi",9,2
"Anderson, Melissa",6,-
"Remus, Maggie",6,-
"Gibson, Megan",5,-
"Weber, Kristina",3,1
"Matosky, Jordan",3,3
3,1,1
