Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Phillips, Scott",,23.67,MidWest Conference Championship,"Feb 25, 2011",0.0
,"Herrman, Davis",SR,23.73,MidWest Conference Championship,"Feb 25, 2011",0.0
,"Herrman, Davis",SR,23.88,Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Phillips, Scott",,23.94,Darren Young Classic,"Feb 11, 2011",0.0
,"Boucher, Dylan",SR,24.01,Hilltop Invitational,"Feb 5, 2011",0.0
,"Johnson, Luke",,24.03,Hilltop Invitational,"Feb 5, 2011",0.0
,"Phillips, Scott",,24.12,Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Herrman, Davis",SR,24.18,Hilltop Invitational,"Feb 5, 2011",0.0
,"Warnock, Gavin",,24.35,Hilltop Invitational,"Feb 5, 2011",0.0
,"Phillips, Scott",,24.44,Hilltop Invitational,"Feb 5, 2011",0.0
,"Singh, Harpreet",SR,24.55,UNI Dome Open,"Feb 18, 2011",0.0
,"Singh, Harpreet",SR,24.58,Darren Young Classic,"Feb 11, 2011",0.0
,"Banks, Quinton",,24.92,Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Singh, Harpreet",SR,25.01,Hilltop Invitational,"Feb 5, 2011",0.0
,"Garwood, David",,25.63,Darren Young Classic,"Feb 11, 2011",0.0
,"Garwood, David",,26.32,Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Brewer, Ben",,26.91,Hilltop Invitational,"Feb 5, 2011",0.0
,"Espinosa, Kyle",,29.19,MidWest Conference Championship,"Feb 25, 2011",0.0
,"Espinosa, Kyle",,29.51,Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Espinosa, Kyle",,29.67,Darren Young Classic,"Feb 11, 2011",0.0
