Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Warnock, Gavin",,6.33m,"20' 9.25""",Darren Young Classic,"Feb 11, 2011",0.0
,"Warnock, Gavin",,6.33m,"20' 9.25""",Darren Young Classic,"Feb 11, 2011",0.0
,"Warnock, Gavin",,6.32m,"20' 9""",Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Johnson, Luke",,6.24m,"20' 5.75""",MidWest Conference Championship,"Feb 25, 2011",0.0
,"Johnson, Luke",,6.24m,"20' 5.75""",MidWest Conference Championship,"Feb 25, 2011",0.0
,"Johnson, Luke",,6.20m,"20' 4.25""",Darren Young Classic,"Feb 11, 2011",0.0
,"Warnock, Gavin",,6.16m,"20' 2.5""",Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Johnson, Luke",,6.13m,"20' 1.5""",Hilltop Invitational,"Feb 5, 2011",0.0
,"Warnock, Gavin",,6.13m,"20' 1.5""",Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Johnson, Luke",,6.13m,"20' 1.5""",Hilltop Invitational,"Feb 5, 2011",0.0
,"Warnock, Gavin",,6.05m,"19' 10.25""",Dubuque Spartan Open,"Feb 19, 2011",0.0
,"Warnock, Gavin",,5.98m,"19' 7.5""",Hilltop Invitational,"Feb 5, 2011",0.0
,"Warnock, Gavin",,5.97m,"19' 7""",Hilltop Invitational,"Feb 5, 2011",0.0
,"Goldstein, Sam",SR-4,5.82m,"19' 1.25""",MidWest Conference Championship,"Feb 25, 2011",0.0
,"Goldstein, Sam",SR-4,5.70m,"18' 8.5""",Hilltop Invitational,"Feb 5, 2011",0.0
,"Hirakawa, Andy",SR,5.63m,"18' 5.75""",Darren Young Classic,"Feb 11, 2011",0.0
,"Goldstein, Sam",SR-4,5.62m,"18' 5.25""",Darren Young Classic,"Feb 11, 2011",0.0
,"Goldstein, Sam",SR-4,5.41m,"17' 9""",UNI Dome Open,"Feb 18, 2011",0.0
