""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Sadhana Athreya,Sr.,"Gurgaon Haryana, India / Shri Ram School"
,Maxandra Cadet,Fr.,"Evanston, Ill. / Evanston Township"
,Jenny Chi,Fr.,"West Hills, Calif. / El Camino Real"
,Shanaz Daneshdoost,Fr.,"Carbondale, Ill. / Carbondale"
,Hanna Feldman,Sr.,"Los Angeles, Calif. / Campbell Hall"
,Emily Groth,Sr.,"Watertown, Wis. / Watertown"
,Marisa Leib-Neri,Fr.,"Chicago, Ill. / Lincoln Park"
,Shirlene Luk,Jr.,"Grand Forks, N.D. / Red River"
,Emma Macdonald,Sr.,"Plymouth, Minn. / Wayzata"
,Minna Montgomery,So.,"Fairfield, Iowa / Maharishi School of the Age of Enlightenment"
,Jean Pharo,Fr.,"Evansville, Ind. / Evansville Day School"
,Virginia Purcell,Fr.,"Danville, Calif. / San Ramon Valley"
,Rebecca Richman,Jr.,"Brooklyn, N.Y. / Brearley School"
,Julia Rumley,So.,"Anchorage, Alaska / East Anchorage"
,Clothilde Thirouin,Sr.,"Houston, Texas / Duchesne School"
,Megan Treichel,Fr.,"Lincoln, Neb. / Northeast"
,Briannah Wilson,Fr.,"Boulder, Colo. / Alexander Dawson School"
