""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Irene Agusti,Sr.,"Barcelona, Spain / ES International School"
,Pari Chavan,Fr.,"Mumbai, India / Saint Xaviers College"
,Nehir Ergun,So.,"Antalya, Turkey / Antalya Lara Bahcesehir Anadolu Lisesi"
,Ioanna Giannakou,Sr.,"Kalamaria, Greece / Anatolia College"
,Nichole Henning,So.,"Newburgh, Ind. / Signature School"
,Erin Jarvis,Jr.,"Springfield, Mo. / Springfield Catholic"
,Utsah Kalra,Jr.,"Bengaluru, India / Delhi Public School-Bangalore East"
,Sydney Marin,Jr.,"Austin, Texas / Austin Tennis Academy College Prep"
,Kalea Martin,Jr.,"Pacific Palisades, Calif. / Palisades Charter"
,Tan Mukherjee,So.,"Kolkata, India / Calcutta International School Society"
,Lily Perrin,Jr.,"Salina, Kan. / Sacred Heart"
,Addie Persian,Fr.,"Montrose, Minn. / Deland"
,Paige Sargent,Fr.,"Rochester, Minn. / Century"
,Anika Sheth,So.,"Hawthorn Woods, Ill. / Adlai E. Stevenson"
,Alyssa Trapp,So.,"Rockford, Ill. / Auburn"
,Alexa Viersma,So.,"Geneva, Switzerland / International School of Geneva - Ecolint"
,Isa Voinescu,So.,"Santa Fe, N.M. / Santa Fe Preparatory School"
