""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Mekdes Assefa,So.,"Garland, Texas / L.V. Berkner"
,Amelia Cogan,Fr.,"Eagle, Idaho / Batavia"
,Judith Fan,Fr.,"Ames, Iowa / Ames"
,Megan Jans,Fr.,"Iowa City, Iowa / West"
,Anushka Joshi,So.,"Kathmandu, Lalitpur, Nepal / British School"
,Marisa Leib-Neri,Jr.,"Chicago, Ill. / Lincoln Park"
,Minna Montgomery,Sr.,"Fairfield, Iowa / Maharishi School of the Age of Enlightenment"
,Jean Pharo,Jr.,"Evansville, Ind. / Evansville Day School"
,Kitt Richards,So.,"Appleton, Wis. / North"
,Julia Rumley,Sr.,"Anchorage, Alaska / East Anchorage"
,Pearl Sawhney,Sr.,"Fairfield, Iowa / Maharishi School of the Age of Enlightenment"
,Emily Stevens,Fr.,"Louisville, Ky. / Dupont Manual Magnet"
,Rachel Tappe,Fr.,"Inver Grove Heights, Minn. / South St. Paul"
,Megan Treichel,Jr.,"Lincoln, Neb. / Northeast"
,Sydney Banach,So.,"Mechanicsburg, Pa. / Cumberland Valley"
,Mikayla Findlay,Sr.,"Lincoln, Neb. / Lincoln"
,Eden Gregory,Fr.,"Brandywine, Md. / Fairmont Heights"
,Lily Hamilton,Fr.,"Grinnell, Iowa / Grinnell"
,Shannon Hautzinger,So.,"Grand Junction, Colo. / Fruita Monument"
,Virginia Purcell,Jr.,"Danville, Calif. / San Ramon Valley"
