""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Constanza Alarcon,Jr.,"Guatemala City, Guatemala / American School Guatemala"
,Sadhana Athreya,So.,"Gurgaon Haryana, India / Shri Ram School"
,Manwika Charaschanya,Sr.,"Bangkok, Thailand / Ruamrudee International School"
,Hanna Feldman,So.,"Los Angeles, Calif. / Campbell Hall"
,Catherine Fitch,Jr.,"Edmonds, Wash. / Lakeside School"
,Emily Groth,So.,"Watertown, Wis. / Watertown"
,Laura Krull,Jr.,"New Braunfels, Texas / Keystone National"
,Shirlene Luk,Fr.,"Grand Forks, N.D. / Red River"
,Emma Macdonald,So.,"Plymouth, Minn. / Wayzata"
,Wadzanai Motsi,Sr.,"Harare, Zimbabwe / Chisipite Senior School"
,Michelle Murphy,Sr.,"Denver, Colo. / East"
,Rebecca Richman,Fr.,"Brooklyn, N.Y. / Brearley School"
,Kelsey Scott,Jr.,"Woonsocket, R.I. / Woonsocket"
,Tatyana Sukharnikova,Sr.,"Sima Valley, Calif. / Royal"
,Clothilde Thirouin,So.,"Houston, Texas / Duchesne School"
,Toby Cain,Sr.,"Edwardsville, Ill. / Edwardsville Senior"
