""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Sydney Banach,Jr.,"Mechanicsburg, Pa. / Cumberland Valley"
,Amelia Cogan,So.,"Eagle, Idaho / Batavia"
,Shanaz Daneshdoost,Sr.,"Carbondale, Ill. / Carbondale"
,Judith Fan,So.,"Ames, Iowa / Ames"
,Eden Gregory,So.,"Brandywine, Md. / Fairmont Heights"
,Brenda Guan,Fr.,"Ankeny, Iowa / Centennial"
,Lily Hamilton,So.,"Grinnell, Iowa / Grinnell"
,Shannon Hautzinger,Jr.,"Grand Junction, Colo. / Fruita Monument"
,Megan Jans,So.,"Iowa City, Iowa / West"
,Anushka Joshi,Jr.,"Kathmandu, Lalitpur, Nepal / British School"
,Marisa Leib-Neri,Sr.,"Chicago, Ill. / Lincoln Park"
,Claire Padrnos,Fr.,"Minneapolis, Minn. / Southwest Secondary"
,Rachel Tappe,So.,"Inver Grove Heights, Minn. / South St. Paul"
,Megan Treichel,Sr.,"Lincoln, Neb. / Northeast"
