""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Irene Agusti,Jr.,"Barcelona, Spain / ES International School"
,Josephine Blumenthal,Sr.,"Chicago, Ill. / Lane Technical"
,Sophia de los Reyes,Sr.,"Hawthorn Woods, Ill. / Lake Zurich"
,Nehir Ergun,Fr.,"Antalya, Turkey / Antalya Lara Bahcesehir Anadolu Lisesi"
,Ioanna Giannakou,Jr.,"Kalamaria, Greece / Anatolia College"
,Nichole Henning,Fr.,"Newburgh, Ind. / Signature School"
,Erin Jarvis,So.,"Springfield, Mo. / Springfield Catholic"
,Utsah Kalra,So.,"Bengaluru, India / Delhi Public School-Bangalore East"
,Ananya Manchanda,Fr.,"New Delhi, India / Moder School Barakhamba Road"
,Mira Manchanda,Jr.,"New Delhi, India / Modern School Barakhamba Road"
,Sydney Marin,So.,"Austin, Texas / Austin Tennis Academy College Prep"
,Kalea Martin,So.,"Pacific Palisades, Calif. / Palisades Charter"
,Tan Mukherjee,Fr.,"Kolkata, India / Calcutta International School Society"
,Lily Perrin,So.,"Salina, Kan. / Sacred Heart"
,Anika Sheth,Fr.,"Hawthorn Woods, Ill. / Adlai E. Stevenson"
,Sabrina Tang,Sr.,"Wisconsin Rapids, Wis. / Stevens Point Area"
,Alyssa Trapp,Fr.,"Rockford, Ill. / Auburn"
,Alexa Viersma,Fr.,"Geneva, Switzerland / International School of Geneva - Ecolint"
,Isa Voinescu,Fr.,"Santa Fe, N.M. / Santa Fe Preparatory School"
