Year,School,Sport,Gender,Scores,Rank
2003,Knox,Softball,Women,3.5,7
2003,Knox,Outdoor Track & Field,Women,4,7
2003,Knox,Total,Women,38,9
2003,Lake Forest,Volleyball,Women,10,1
2003,Lake Forest,Soccer,Women,9,2
2003,Lake Forest,Cross Country,Women,2,9
2003,Lake Forest,Tennis,Women,10,1
2003,Lake Forest,Basketball,Women,7.5,3
2003,Lake Forest,Swimming,Women,9,2
2003,Lake Forest,Softball,Women,10,1
2003,Lake Forest,Total,Women,57.5,4
2003,Lawerence,Volleyball,Women,1.5,9
2003,Lawerence,Soccer,Women,5,6
2003,Lawerence,Cross Country,Women,9,2
2003,Lawerence,Tennis,Women,3,8
2003,Lawerence,Basketball,Women,5.5,5
2003,Lawerence,Swimming,Women,7,4
2003,Lawerence,Indoor Track & Field,Women,3,8
2003,Lawerence,Softball,Women,8,3
2003,Lawerence,Outdoor Track & Field,Women,5,6
2003,Lawerence,Total,Women,47,8
2003,Monmouth,Volleyball,Women,5,6
2003,Monmouth,Soccer,Women,6,5
2003,Monmouth,Cross Country,Women,4,7
2003,Monmouth,Tennis,Women,1,10
2003,Monmouth,Basketball,Women,2,9
2003,Monmouth,Indoor Track & Field,Women,10,1
2003,Monmouth,Softball,Women,7,4
2003,Monmouth,Outdoor Track & Field,Women,8,3
2003,Monmouth,Total,Women,50,7
2003,Ripon,Volleyball,Women,1.5,9
2003,Ripon,Soccer,Women,3,8
2003,Ripon,Cross Country,Women,5,6
2003,Ripon,Tennis,Women,8,3
2003,Ripon,Basketball,Women,10,1
2003,Ripon,Swimming,Women,3,8
2003,Ripon,Indoor Track & Field,Women,2,9
2003,Ripon,Softball,Women,9,2
2003,Ripon,Outdoor Track & Field,Women,6,5
2003,Ripon,Total,Women,55.5,6
2003,St. Norbert,Volleyball,Women,8,3
2003,St. Norbert,Soccer,Women,8,3
2003,St. Norbert,Cross Country,Women,10,1
2003,St. Norbert,Tennis,Women,6,5
2003,St. Norbert,Basketball,Women,9,2
2003,St. Norbert,Swimming,Women,8,3
2003,St. Norbert,Indoor Track & Field,Women,6.5,4
2003,St. Norbert,Softball,Women,5.5,5
2003,St. Norbert,Outdoor Track & Field,Women,7,4
2003,St. Norbert,Total,Women,73,1
2004,Beloit,Football,Men,3,8
2004,Beloit,Soccer,Men,7,3
2004,Beloit,Cross Country,Men,6.5,4
2004,Beloit,Basketball,Men,2.5,6
2004,Beloit,Swimming,Men,6,5
2004,Beloit,Indoor Track & Field,Men,4,7
2004,Beloit,Tennis,Men,3,7
2004,Beloit,Baseball,Men,5,5
2004,Beloit,Outdoor Track & Field,Men,5,6
2004,Beloit,Total,Men,45.5,6
2004,Carroll,Football,Men,4,7
2004,Carroll,Soccer,Men,9,2
2004,Carroll,Cross Country,Men,2,9
2004,Carroll,Basketball,Men,7.5,2
2004,Carroll,Swimming,Men,5,6
2004,Carroll,Indoor Track & Field,Men,2.5,8
2004,Carroll,Tennis,Men,2,8
2004,Carroll,Baseball,Men,2.5,8
2004,Carroll,Outdoor Track & Field,Men,2,9
2004,Carroll,Total,Men,43.5,7
2004,Grinnell,Football,Men,6.5,4
2004,Grinnell,Soccer,Men,4,7
2004,Grinnell,Cross Country,Men,10,1
2004,Grinnell,Basketball,Men,2.5,6
2004,Grinnell,Swimming,Men,10,1
2004,Grinnell,Indoor Track & Field,Men,5,5
2004,Grinnell,Tennis,Men,10,1
2004,Grinnell,Baseball,Men,5,5
2004,Grinnell,Outdoor Track & Field,Men,8,3
2004,Grinnell,Total,Men,69,3
2004,Illinois C.,Football,Men,6.5,4
2004,Illinois C.,Soccer,Men,3,8
2004,Illinois C.,Cross Country,Men,1,10
2004,Illinois C.,Basketball,Men,2.5,6
2004,Illinois C.,Indoor Track & Field,Men,7.5,3
2004,Illinois C.,Tennis,Men,1,9
2004,Illinois C.,Baseball,Men,7.5,3
2004,Illinois C.,Outdoor Track & Field,Men,4,7
2004,Illinois C.,Total,Men,35.5,10
2004,Know,Football,Men,1.5,9
2004,Know,Soccer,Men,2,9
2004,Know,Cross Country,Men,3,8
2004,Know,Basketball,Men,5,5
2004,Know,Swimming,Men,4,7
2004,Know,Indoor Track & Field,Men,2.5,8
2004,Know,Tennis,Men,7,4
2004,Know,Baseball,Men,2.5,8
2004,Know,Outdoor Track & Field,Men,3,8
2004,Know,Total,Men,40,8
2004,Lake Forest,Football,Men,8,3
2004,Lake Forest,Soccer,Men,7,3
2004,Lake Forest,Cross Country,Men,4,7
2004,Lake Forest,Basketball,Men,7.5,2
2004,Lake Forest,Swimming,Men,8,3
2004,Lake Forest,Tennis,Men,4,6
2004,Lake Forest,Total,Men,38.5,9
2004,Lawerence,Football,Men,1.5,9
2004,Lawerence,Soccer,Men,7,3
2004,Lawerence,Cross Country,Men,5,6
2004,Lawerence,Basketball,Men,1,10
2004,Lawerence,Swimming,Men,9,2
2004,Lawerence,Indoor Track & Field,Men,5,5
2004,Lawerence,Tennis,Men,5,5
2004,Lawerence,Baseball,Men,5,5
2004,Lawerence,Outdoor Track & Field,Men,7,4
2004,Lawerence,Total,Men,64.5,4
2004,Monmouth,Football,Men,9,2
2004,Monmouth,Soccer,Men,1,10
2004,Monmouth,Cross Country,Men,9,2
2004,Monmouth,Basketball,Men,6,4
2004,Monmouth,Swimming,Men,7,4
2004,Monmouth,Indoor Track & Field,Men,10,1
2004,Monmouth,Baseball,Men,7.5,3
2004,Monmouth,Outdoor Track & Field,Men,10,1
2004,Monmouth,Total,Men,73.5,1
2004,Ripon,Football,Men,5,6
2004,Ripon,Soccer,Men,5,6
2004,Ripon,Cross Country,Men,6.5,4
2004,Ripon,Basketball,Men,9,1
2004,Ripon,Swimming,Men,3,8
2004,Ripon,Indoor Track & Field,Men,6,4
2004,Ripon,Tennis,Men,9,2
2004,Ripon,Baseball,Men,10,1
2004,Ripon,Outdoor Track & Field,Men,6,5
2004,Ripon,Total,Men,61.5,5
2004,St. Norbert,Football,Men,10,1
2004,St. Norbert,Soccer,Men,10,1
2004,St. Norbert,Cross Country,Men,8,3
2004,St. Norbert,Basketball,Men,2.5,6
2004,St. Norbert,Indoor Track & Field,Men,9,2
2004,St. Norbert,Tennis,Men,8,3
2004,St. Norbert,Baseball,Men,9,2
2004,St. Norbert,Outdoor Track & Field,Men,9,2
2004,St. Norbert,Total,Men,71.5,2
2004,Beloit,Volleyball,Women,6,5
2004,Beloit,Soccer,Women,3,8
2004,Beloit,Cross Country,Women,7,4
2004,Beloit,Tennis,Women,8,3
2004,Beloit,Basketball,Women,4,7
2004,Beloit,Swimming,Women,5,6
2004,Beloit,Indoor Track & Field,Women,4,7
2004,Beloit,Softball,Women,9,2
2004,Beloit,Outdoor Track & Field,Women,6,5
2004,Beloit,Total,Women,55,6
2004,Carroll,Volleyball,Women,1.5,9
2004,Carroll,Soccer,Women,9,2
2004,Carroll,Cross Country,Women,5,6
2004,Carroll,Tennis,Women,7,4
2004,Carroll,Basketball,Women,5,6
2004,Carroll,Swimming,Women,8,3
2004,Carroll,Indoor Track & Field,Women,9,2
2004,Carroll,Softball,Women,3.5,7
2004,Carroll,Outdoor Track & Field,Women,9,2
2004,Carroll,Total,Women,61.5,4
2004,Grinnell,Volleyball,Women,3.5,7
