Year,School,Sport,Gender,Scores,Rank
2006,Lawrence University,Indoor Track & Field,Men,3,8
2006,Lawrence University,Tennis,Men,4,7
2006,Lawrence University,Outdoor Track & Field,Men,3,8
2006,Lawrence University,Baseball,Men,3.5,7
2006,Lawrence University,Total,Men,47.5,6
2006,Monmouth College,Football,Men,8.5,2
2006,Monmouth College,Soccer,Men,3,8
2006,Monmouth College,Cross Country,Men,9.5,1
2006,Monmouth College,Basketball,Men,4,7
2006,Monmouth College,Swimming,Men,9,2
2006,Monmouth College,Indoor Track & Field,Men,10,1
2006,Monmouth College,Tennis,Men,7,4
2006,Monmouth College,Outdoor Track & Field,Men,10,1
2006,Monmouth College,Baseball,Men,8,3
2006,Monmouth College,Total,Men,79,1
2006,Ripon College,Football,Men,8.5,2
2006,Ripon College,Soccer,Men,2,9
2006,Ripon College,Cross Country,Men,6,5
2006,Ripon College,Basketball,Men,8,3
2006,Ripon College,Swimming,Men,4,7
2006,Ripon College,Indoor Track & Field,Men,5,6
2006,Ripon College,Tennis,Men,9,2
2006,Ripon College,Outdoor Track & Field,Men,5,6
2006,Ripon College,Baseball,Men,10,1
2006,Ripon College,Total,Men,61.5,4
2006,St. Norbert College,Football,Men,10,1
2006,St. Norbert College,Soccer,Men,9,2
2006,St. Norbert College,Cross Country,Men,8,3
2006,St. Norbert College,Basketball,Men,5,6
2006,St. Norbert College,Indoor Track & Field,Men,8,3
2006,St. Norbert College,Tennis,Men,8,3
2006,St. Norbert College,Outdoor Track & Field,Men,8,3
2006,St. Norbert College,Baseball,Men,9,2
2006,St. Norbert College,Total,Men,71,3
2006,Beloit College,Volleyball,Women,10,1
2006,Beloit College,Soccer,Women,5,6
2006,Beloit College,Cross Country,Women,8,3
2006,Beloit College,Tennis,Women,7,4
2006,Beloit College,Basketball,Women,6,5
2006,Beloit College,Swimming,Women,5,6
2006,Beloit College,Indoor Track & Field,Women,7,4
2006,Beloit College,Outdoor Track & Field,Women,8,3
2006,Beloit College,Total,Women,59.5,5
2006,Carroll University,Volleyball,Women,7.5,2
2006,Carroll University,Soccer,Women,9,2
2006,Carroll University,Cross Country,Women,4,7
2006,Carroll University,Tennis,Women,5,6
2006,Carroll University,Basketball,Women,9,2
2006,Carroll University,Swimming,Women,8,3
2006,Carroll University,Indoor Track & Field,Women,9,2
2006,Carroll University,Outdoor Track & Field,Women,9,2
2006,Carroll University,Total,Women,66,3
2006,Grinnell College,Volleyball,Women,1,10
2006,Grinnell College,Soccer,Women,10,1
2006,Grinnell College,Cross Country,Women,10,1
2006,Grinnell College,Tennis,Women,10,1
2006,Grinnell College,Basketball,Women,3,7
2006,Grinnell College,Swimming,Women,10,1
2006,Grinnell College,Indoor Track & Field,Women,5,6
2006,Grinnell College,Outdoor Track & Field,Women,5,6
2006,Grinnell College,Total,Women,66.5,2
2006,Illinois College,Volleyball,Women,7.5,2
2006,Illinois College,Soccer,Women,3,7
2006,Illinois College,Cross Country,Women,2,9
2006,Illinois College,Tennis,Women,0,10
2006,Illinois College,Basketball,Women,3,7
2006,Illinois College,Indoor Track & Field,Women,6,5
2006,Illinois College,Outdoor Track & Field,Women,4,7
2006,Illinois College,Total,Women,42.5,9
2006,Knox College,Volleyball,Women,2,9
2006,Knox College,Soccer,Women,1,10
2006,Knox College,Cross Country,Women,1,10
2006,Knox College,Tennis,Women,3,8
2006,Knox College,Basketball,Women,1,10
2006,Knox College,Swimming,Women,2,9
2006,Knox College,Indoor Track & Field,Women,2,9
2006,Knox College,Outdoor Track & Field,Women,2,9
2006,Knox College,Total,Women,20.5,10
2006,Lake Forest College,Volleyball,Women,7.5,2
2006,Lake Forest College,Soccer,Women,7,4
2006,Lake Forest College,Cross Country,Women,7,4
2006,Lake Forest College,Tennis,Women,8,3
2006,Lake Forest College,Basketball,Women,10,1
2006,Lake Forest College,Swimming,Women,6,5
2006,Lake Forest College,Total,Women,54.5,6
2006,Lawrence University,Volleyball,Women,3,8
2006,Lawrence University,Soccer,Women,3,7
2006,Lawrence University,Cross Country,Women,3,8
2006,Lawrence University,Tennis,Women,6,5
2006,Lawrence University,Basketball,Women,7.5,3
2006,Lawrence University,Swimming,Women,9,2
2006,Lawrence University,Indoor Track & Field,Women,3,8
2006,Lawrence University,Outdoor Track & Field,Women,3,8
2006,Lawrence University,Total,Women,43,8
2006,Monmouth College,Volleyball,Women,5,6
2006,Monmouth College,Soccer,Women,6,5
2006,Monmouth College,Cross Country,Women,6,5
2006,Monmouth College,Tennis,Women,4,7
2006,Monmouth College,Basketball,Women,5,6
2006,Monmouth College,Swimming,Women,7,4
2006,Monmouth College,Indoor Track & Field,Women,10,1
2006,Monmouth College,Outdoor Track & Field,Women,10,1
2006,Monmouth College,Total,Women,65.5,4
2006,Ripon College,Volleyball,Women,4,7
2006,Ripon College,Soccer,Women,3,7
2006,Ripon College,Cross Country,Women,9,2
2006,Ripon College,Tennis,Women,2,9
2006,Ripon College,Basketball,Women,3,7
2006,Ripon College,Swimming,Women,4,7
2006,Ripon College,Indoor Track & Field,Women,4,7
2006,Ripon College,Outdoor Track & Field,Women,7,4
2006,Ripon College,Total,Women,50,7
2006,St. Norbert College,Volleyball,Women,7.5,2
2006,St. Norbert College,Soccer,Women,8,3
2006,St. Norbert College,Cross Country,Women,5,6
2006,St. Norbert College,Tennis,Women,9,2
2006,St. Norbert College,Basketball,Women,7.5,3
2006,St. Norbert College,Swimming,Women,3,8
2006,St. Norbert College,Indoor Track & Field,Women,8,3
2006,St. Norbert College,Outdoor Track & Field,Women,6,5
2006,St. Norbert College,Total,Women,72,1
2007,Beloit College,Football,Men,1.5,9
2007,Beloit College,Soccer,Men,6.5,4
2007,Beloit College,Cross Country,Men,4.5,6
2007,Beloit College,Basketball,Men,1,10
2007,Beloit College,Swimming,Men,4,7
2007,Beloit College,Indoor Track & Field,Men,4,7
2007,Beloit College,Tennis,Men,2,9
2007,Beloit College,Outdoor Track & Field,Men,4,7
2007,Beloit College,Baseball,Men,2,9
2007,Beloit College,Total,Men,31.5,10
2007,Carroll University,Football,Men,6.5,4
2007,Carroll University,Soccer,Men,9,2
2007,Carroll University,Cross Country,Men,6,5
2007,Carroll University,Basketball,Men,7.5,3
2007,Carroll University,Swimming,Men,6,5
2007,Carroll University,Indoor Track & Field,Men,7.5,3
2007,Carroll University,Tennis,Men,4,7
2007,Carroll University,Outdoor Track & Field,Men,7,4
2007,Carroll University,Baseball,Men,5,5
2007,Carroll University,Total,Men,64.5,4
2007,Grinnell College,Football,Men,1.5,9
2007,Grinnell College,Soccer,Men,8,3
2007,Grinnell College,Cross Country,Men,10,1
2007,Grinnell College,Basketball,Men,9,2
2007,Grinnell College,Swimming,Men,10,1
2007,Grinnell College,Indoor Track & Field,Men,5,6
2007,Grinnell College,Tennis,Men,10,1
2007,Grinnell College,Outdoor Track & Field,Men,6,5
2007,Grinnell College,Baseball,Men,5,5
2007,Grinnell College,Total,Men,72.5,2
2007,Illinois College,Football,Men,4.5,6
2007,Illinois College,Soccer,Men,1.5,9
2007,Illinois College,Cross Country,Men,1.5,9
2007,Illinois College,Basketball,Men,2,9
2007,Illinois College,Swimming,Men,2,9
2007,Illinois College,Indoor Track & Field,Men,9,2
2007,Illinois College,Tennis,Men,1,10
2007,Illinois College,Outdoor Track & Field,Men,9,2
2007,Illinois College,Baseball,Men,5,5
2007,Illinois College,Total,Men,38.5,8
2007,Knox College,Football,Men,3,8
2007,Knox College,Soccer,Men,3,8
2007,Knox College,Cross Country,Men,3,8
2007,Knox College,Basketball,Men,5,5
2007,Knox College,Swimming,Men,3,8
2007,Knox College,Indoor Track & Field,Men,3,8
2007,Knox College,Tennis,Men,3,8
2007,Knox College,Outdoor Track & Field,Men,3,8
2007,Knox College,Baseball,Men,10,1
2007,Knox College,Total,Men,46,7
2007,Lake Forest College,Football,Men,6.5,4
2007,Lake Forest College,Soccer,Men,4,7
2007,Lake Forest College,Cross Country,Men,4.5,6
2007,Lake Forest College,Basketball,Men,5,5
2007,Lake Forest College,Swimming,Men,8,3
2007,Lake Forest College,Tennis,Men,9,2
2007,Lake Forest College,Total,Men,37,9
2007,Lawrence University,Football,Men,4.5,6
2007,Lawrence University,Soccer,Men,6.5,4
2007,Lawrence University,Cross Country,Men,1.5,9
2007,Lawrence University,Basketball,Men,10,1
2007,Lawrence University,Swimming,Men,7,4
2007,Lawrence University,Indoor Track & Field,Men,2,9
2007,Lawrence University,Tennis,Men,7,4
2007,Lawrence University,Outdoor Track & Field,Men,2,9
2007,Lawrence University,Baseball,Men,3,8
2007,Lawrence University,Total,Men,49.5,6
2007,Monmouth College,Football,Men,8.5,2
2007,Monmouth College,Soccer,Men,1.5,9
2007,Monmouth College,Cross Country,Men,8,3
2007,Monmouth College,Basketball,Men,5,5
2007,Monmouth College,Swimming,Men,9,2
2007,Monmouth College,Indoor Track & Field,Men,10,1
2007,Monmouth College,Tennis,Men,6,5
2007,Monmouth College,Outdoor Track & Field,Men,10,1
2007,Monmouth College,Baseball,Men,7,4
2007,Monmouth College,Total,Men,74,1
2007,Ripon College,Football,Men,8.5,2
2007,Ripon College,Soccer,Men,5,6
2007,Ripon College,Cross Country,Men,7,4
2007,Ripon College,Basketball,Men,3,8
2007,Ripon College,Swimming,Men,5,6
2007,Ripon College,Indoor Track & Field,Men,6,5
2007,Ripon College,Tennis,Men,5,6
2007,Ripon College,Outdoor Track & Field,Men,5,6
2007,Ripon College,Baseball,Men,9,2
2007,Ripon College,Total,Men,59.5,5
2007,St. Norbert College,Football,Men,10,1
2007,St. Norbert College,Soccer,Men,10,1
2007,St. Norbert College,Cross Country,Men,9,2
2007,St. Norbert College,Basketball,Men,7.5,3
2007,St. Norbert College,Indoor Track & Field,Men,7.5,3
2007,St. Norbert College,Tennis,Men,8,3
2007,St. Norbert College,Outdoor Track & Field,Men,8,3
2007,St. Norbert College,Baseball,Men,8,3
2007,St. Norbert College,Total,Men,72,3
2007,Beloit College,Volleyball,Women,7,3
2007,Beloit College,Soccer,Women,5,6
2007,Beloit College,Cross Country,Women,7,4
2007,Beloit College,Tennis,Women,6,5
2007,Beloit College,Basketball,Women,7.5,3
2007,Beloit College,Swimming,Women,7,4
2007,Beloit College,Indoor Track & Field,Women,6,5
2007,Beloit College,Outdoor Track & Field,Women,7,4
2007,Beloit College,Total,Women,54,5
2007,Carroll University,Volleyball,Women,9.5,1
2007,Carroll University,Soccer,Women,10,1
2007,Carroll University,Cross Country,Women,9,2
2007,Carroll University,Tennis,Women,8,3
2007,Carroll University,Basketball,Women,7.5,3
2007,Carroll University,Swimming,Women,3,8
2007,Carroll University,Indoor Track & Field,Women,9,2
2007,Carroll University,Outdoor Track & Field,Women,9,2
2007,Carroll University,Total,Women,74.5,2
2007,Grinnell College,Volleyball,Women,4,7
2007,Grinnell College,Soccer,Women,7,4
2007,Grinnell College,Cross Country,Women,10,1
2007,Grinnell College,Tennis,Women,10,1
2007,Grinnell College,Basketball,Women,4.5,6
2007,Grinnell College,Swimming,Women,10,1
2007,Grinnell College,Indoor Track & Field,Women,7,4
2007,Grinnell College,Outdoor Track & Field,Women,6,5
2007,Grinnell College,Total,Women,68,4
2007,Illinois College,Volleyball,Women,2,9
2007,Illinois College,Soccer,Women,2,9
2007,Illinois College,Cross Country,Women,1,10
2007,Illinois College,Tennis,Women,1,10
2007,Illinois College,Basketball,Women,4.5,6
2007,Illinois College,Swimming,Women,1,10
2007,Illinois College,Indoor Track & Field,Women,5,6
2007,Illinois College,Outdoor Track & Field,Women,4,7
2007,Illinois College,Total,Women,36,9
2007,Knox College,Volleyball,Women,1,10
2007,Knox College,Soccer,Women,1,10
2007,Knox College,Cross Country,Women,2,9
2007,Knox College,Tennis,Women,2,9
2007,Knox College,Basketball,Women,1.5,9
2007,Knox College,Swimming,Women,2,9
2007,Knox College,Indoor Track & Field,Women,2,9
2007,Knox College,Outdoor Track & Field,Women,2,9
2007,Knox College,Total,Women,24,10
2007,Lake Forest College,Volleyball,Women,5,6
2007,Lake Forest College,Soccer,Women,8,3
2007,Lake Forest College,Cross Country,Women,3,8
2007,Lake Forest College,Tennis,Women,7,4
2007,Lake Forest College,Basketball,Women,9,2
2007,Lake Forest College,Swimming,Women,5,6
2007,Lake Forest College,Total,Women,46,7
2007,Lawrence University,Volleyball,Women,3,8
2007,Lawrence University,Soccer,Women,4,7
2007,Lawrence University,Cross Country,Women,5,6
2007,Lawrence University,Tennis,Women,5,6
2007,Lawrence University,Basketball,Women,1.5,9
2007,Lawrence University,Swimming,Women,9,2
2007,Lawrence University,Indoor Track & Field,Women,4,7
2007,Lawrence University,Outdoor Track & Field,Women,3,8
2007,Lawrence University,Total,Women,38,8
2007,Monmouth College,Volleyball,Women,7,3
2007,Monmouth College,Soccer,Women,6,5
2007,Monmouth College,Cross Country,Women,6,5
2007,Monmouth College,Tennis,Women,4,7
2007,Monmouth College,Basketball,Women,6,5
2007,Monmouth College,Swimming,Women,6,5
2007,Monmouth College,Indoor Track & Field,Women,10,1
2007,Monmouth College,Outdoor Track & Field,Women,10,1
2007,Monmouth College,Total,Women,69,3
2007,Ripon College,Volleyball,Women,7,3
2007,Ripon College,Soccer,Women,3,8
2007,Ripon College,Cross Country,Women,4,7
2007,Ripon College,Tennis,Women,3,8
2007,Ripon College,Basketball,Women,3,8
2007,Ripon College,Swimming,Women,8,3
2007,Ripon College,Indoor Track & Field,Women,3,8
2007,Ripon College,Outdoor Track & Field,Women,5,6
2007,Ripon College,Total,Women,51,6
2007,St. Norbert College,Volleyball,Women,9.5,1
2007,St. Norbert College,Soccer,Women,9,2
2007,St. Norbert College,Cross Country,Women,8,3
2007,St. Norbert College,Tennis,Women,9,2
2007,St. Norbert College,Basketball,Women,10,1
2007,St. Norbert College,Swimming,Women,4,7
2007,St. Norbert College,Indoor Track & Field,Women,8,3
2007,St. Norbert College,Outdoor Track & Field,Women,8,3
2007,St. Norbert College,Total,Women,81.5,1
2008,Beloit College,Football,Men,5.5,5
2008,Beloit College,Soccer,Men,6,5
2008,Beloit College,Cross Country,Men,6,5
2008,Beloit College,Basketball,Men,1.5,9
2008,Beloit College,Swimming,Men,3,8
2008,Beloit College,Indoor Track & Field,Men,4,7
2008,Beloit College,Tennis,Men,1,10
2008,Beloit College,Outdoor Track & Field,Men,4,7
2008,Beloit College,Baseball,Men,10,1
2008,Beloit College,Total,Men,43,8
2008,Carroll University,Football,Men,7,4
2008,Carroll University,Soccer,Men,10,1
2008,Carroll University,Cross Country,Men,5,6
2008,Carroll University,Basketball,Men,7.5,3
2008,Carroll University,Swimming,Men,5,6
2008,Carroll University,Indoor Track & Field,Men,8,3
2008,Carroll University,Tennis,Men,5,6
2008,Carroll University,Outdoor Track & Field,Men,7.5,3
2008,Carroll University,Baseball,Men,2,9
2008,Carroll University,Total,Men,65,4
2008,Grinnell College,Football,Men,2.5,8
2008,Grinnell College,Soccer,Men,8,3
2008,Grinnell College,Cross Country,Men,10,1
2008,Grinnell College,Basketball,Men,9.5,1
2008,Grinnell College,Swimming,Men,10,1
2008,Grinnell College,Indoor Track & Field,Men,6,5
2008,Grinnell College,Tennis,Men,10,1
2008,Grinnell College,Outdoor Track & Field,Men,7.5,3
2008,Grinnell College,Baseball,Men,7,4
2008,Grinnell College,Total,Men,77,2
2008,Illinois College,Football,Men,5.5,5
2008,Illinois College,Soccer,Men,4,7
2008,Illinois College,Cross Country,Men,3,8
2008,Illinois College,Basketball,Men,6,5
2008,Illinois College,Swimming,Men,2,9
2008,Illinois College,Indoor Track & Field,Men,9,2
2008,Illinois College,Tennis,Men,2,9
2008,Illinois College,Outdoor Track & Field,Men,9,2
2008,Illinois College,Baseball,Men,3.5,7
2008,Illinois College,Total,Men,58,5
2008,Knox College,Football,Men,2.5,8
2008,Knox College,Soccer,Men,1,10
2008,Knox College,Cross Country,Men,1,10
2008,Knox College,Basketball,Men,1.5,9
2008,Knox College,Swimming,Men,4,7
2008,Knox College,Indoor Track & Field,Men,3,8
2008,Knox College,Tennis,Men,3,8
2008,Knox College,Outdoor Track & Field,Men,3,8
2008,Knox College,Baseball,Men,5.5,5
2008,Knox College,Total,Men,31,9
2008,Lake Forest College,Football,Men,4,7
2008,Lake Forest College,Soccer,Men,5,6
2008,Lake Forest College,Cross Country,Men,2,9
2008,Lake Forest College,Basketball,Men,5,6
2008,Lake Forest College,Swimming,Men,6,5
2008,Lake Forest College,Tennis,Men,6,5
2008,Lake Forest College,Total,Men,27,10
2008,Lawrence University,Football,Men,1,10
2008,Lawrence University,Soccer,Men,7,4
2008,Lawrence University,Cross Country,Men,4,7
2008,Lawrence University,Basketball,Men,9.5,1
2008,Lawrence University,Swimming,Men,8,3
2008,Lawrence University,Indoor Track & Field,Men,2,9
2008,Lawrence University,Tennis,Men,8,3
2008,Lawrence University,Outdoor Track & Field,Men,2,9
2008,Lawrence University,Baseball,Men,3.5,7
2008,Lawrence University,Total,Men,48,7
2008,Monmouth College,Football,Men,10,1
2008,Monmouth College,Soccer,Men,3,8
2008,Monmouth College,Cross Country,Men,8,3
2008,Monmouth College,Basketball,Men,3,8
2008,Monmouth College,Swimming,Men,9,2
2008,Monmouth College,Indoor Track & Field,Men,10,1
2008,Monmouth College,Tennis,Men,9,2
2008,Monmouth College,Outdoor Track & Field,Men,10,1
2008,Monmouth College,Baseball,Men,8,3
2008,Monmouth College,Total,Men,80,1
2008,Ripon College,Football,Men,9,2
2008,Ripon College,Soccer,Men,2,9
2008,Ripon College,Cross Country,Men,7,4
2008,Ripon College,Basketball,Men,5,6
2008,Ripon College,Swimming,Men,7,4
2008,Ripon College,Indoor Track & Field,Men,5,6
2008,Ripon College,Tennis,Men,4,7
2008,Ripon College,Outdoor Track & Field,Men,5,6
2008,Ripon College,Baseball,Men,5.5,5
2008,Ripon College,Total,Men,54.5,6
2008,St. Norbert College,Football,Men,8,3
2008,St. Norbert College,Soccer,Men,9,2
2008,St. Norbert College,Cross Country,Men,9,2
2008,St. Norbert College,Basketball,Men,7.5,3
2008,St. Norbert College,Indoor Track & Field,Men,7,4
2008,St. Norbert College,Tennis,Men,7,4
2008,St. Norbert College,Outdoor Track & Field,Men,6,5
2008,St. Norbert College,Baseball,Men,9,2
2008,St. Norbert College,Total,Men,71.5,3
2008,Beloit College,Volleyball,Women,9,2
2008,Beloit College,Soccer,Women,3.5,7
2008,Beloit College,Cross Country,Women,5,6
2008,Beloit College,Basketball,Women,7.5,3
2008,Beloit College,Swimming,Women,4,7
2008,Beloit College,Indoor Track & Field,Women,4.5,6
2008,Beloit College,Tennis,Women,6,5
2008,Beloit College,Outdoor Track & Field,Women,4,7
2008,Beloit College,Total,Women,45,6
2008,Carroll University,Volleyball,Women,4,7
2008,Carroll University,Soccer,Women,9,2
2008,Carroll University,Cross Country,Women,9,2
2008,Carroll University,Basketball,Women,4,7
2008,Carroll University,Swimming,Women,7,4
2008,Carroll University,Indoor Track & Field,Women,9,2
2008,Carroll University,Tennis,Women,5,6
2008,Carroll University,Outdoor Track & Field,Women,9,2
2008,Carroll University,Total,Women,67.5,3
2008,Grinnell College,Volleyball,Women,2.5,8
2008,Grinnell College,Soccer,Women,7.5,3
2008,Grinnell College,Cross Country,Women,7.5,3
2008,Grinnell College,Basketball,Women,2.5,8
2008,Grinnell College,Swimming,Women,10,1
2008,Grinnell College,Indoor Track & Field,Women,3,8
2008,Grinnell College,Tennis,Women,10,1
2008,Grinnell College,Outdoor Track & Field,Women,6,5
2008,Grinnell College,Total,Women,61.5,5
2008,Illinois College,Volleyball,Women,6.5,4
2008,Illinois College,Soccer,Women,1,10
2008,Illinois College,Cross Country,Women,1,10
2008,Illinois College,Basketball,Women,7.5,3
2008,Illinois College,Swimming,Women,1,10
2008,Illinois College,Indoor Track & Field,Women,4.5,6
2008,Illinois College,Tennis,Women,1,10
2008,Illinois College,Outdoor Track & Field,Women,5,6
2008,Illinois College,Total,Women,43,8
2008,Knox College,Volleyball,Women,2.5,8
2008,Knox College,Soccer,Women,2,9
2008,Knox College,Cross Country,Women,2,9
2008,Knox College,Basketball,Women,2.5,8
2008,Knox College,Swimming,Women,3,8
2008,Knox College,Indoor Track & Field,Women,2,9
2008,Knox College,Tennis,Women,2.5,8
2008,Knox College,Outdoor Track & Field,Women,3,8
2008,Knox College,Total,Women,26,10
2008,Lake Forest College,Volleyball,Women,5,6
2008,Lake Forest College,Soccer,Women,7.5,3
2008,Lake Forest College,Cross Country,Women,3,8
2008,Lake Forest College,Basketball,Women,5.5,5
2008,Lake Forest College,Swimming,Women,8,3
2008,Lake Forest College,Tennis,Women,4,7
2008,Lake Forest College,Total,Women,41,9
2008,Lawrence University,Volleyball,Women,1,10
2008,Lawrence University,Soccer,Women,6,5
2008,Lawrence University,Cross Country,Women,4,7
2008,Lawrence University,Basketball,Women,1,10
2008,Lawrence University,Swimming,Women,9,2
2008,Lawrence University,Indoor Track & Field,Women,6,5
2008,Lawrence University,Tennis,Women,9,2
2008,Lawrence University,Outdoor Track & Field,Women,2,9
2008,Lawrence University,Total,Women,43.5,7
2008,Monmouth College,Volleyball,Women,6.5,4
2008,Monmouth College,Soccer,Women,5,6
2008,Monmouth College,Cross Country,Women,10,1
2008,Monmouth College,Basketball,Women,5.5,5
2008,Monmouth College,Swimming,Women,6,5
2008,Monmouth College,Indoor Track & Field,Women,10,1
2008,Monmouth College,Tennis,Women,8,3
2008,Monmouth College,Outdoor Track & Field,Women,10,1
2008,Monmouth College,Total,Women,74,2
2008,Ripon College,Volleyball,Women,8,3
2008,Ripon College,Soccer,Women,3.5,7
2008,Ripon College,Cross Country,Women,6,5
2008,Ripon College,Basketball,Women,10,1
2008,Ripon College,Swimming,Women,5,6
2008,Ripon College,Indoor Track & Field,Women,7,4
2008,Ripon College,Tennis,Women,2.5,8
2008,Ripon College,Outdoor Track & Field,Women,7,4
2008,Ripon College,Total,Women,65,4
2008,St. Norbert College,Volleyball,Women,10,1
2008,St. Norbert College,Soccer,Women,10,1
2008,St. Norbert College,Cross Country,Women,7.5,3
2008,St. Norbert College,Basketball,Women,9,2
2008,St. Norbert College,Swimming,Women,2,9
2008,St. Norbert College,Indoor Track & Field,Women,8,3
2008,St. Norbert College,Tennis,Women,7,4
2008,St. Norbert College,Outdoor Track & Field,Women,8,3
2008,St. Norbert College,Total,Women,75.5,1
2009,Beloit College,Football,Men,6,4
2009,Beloit College,Soccer,Men,7,4
2009,Beloit College,Cross Country,Men,6,5
2009,Beloit College,Basketball,Men,3.5,7
2009,Beloit College,Swimming,Men,5,6
2009,Beloit College,Indoor Track & Field,Men,2,9
2009,Beloit College,Tennis,Men,1,10
2009,Beloit College,Outdoor Track & Field,Men,4,7
2009,Beloit College,Baseball,Men,5.5,5
2009,Beloit College,Total,Men,42,7
2009,Carroll University,Football,Men,6,4
2009,Carroll University,Soccer,Men,10,1
2009,Carroll University,Cross Country,Men,4,7
2009,Carroll University,Basketball,Men,7.5,3
2009,Carroll University,Swimming,Men,6,5
2009,Carroll University,Indoor Track & Field,Men,8,3
2009,Carroll University,Tennis,Men,6,5
2009,Carroll University,Outdoor Track & Field,Men,9,2
2009,Carroll University,Baseball,Men,3.5,7
2009,Carroll University,Total,Men,69,3
2009,Grinnell College,Football,Men,3.5,7
2009,Grinnell College,Soccer,Men,9,2
2009,Grinnell College,Cross Country,Men,10,1
2009,Grinnell College,Basketball,Men,3.5,7
2009,Grinnell College,Swimming,Men,10,1
2009,Grinnell College,Indoor Track & Field,Men,5,6
2009,Grinnell College,Tennis,Men,10,1
2009,Grinnell College,Outdoor Track & Field,Men,8,3
2009,Grinnell College,Baseball,Men,9,2
2009,Grinnell College,Total,Men,74,1
2009,Illinois College,Football,Men,6,4
2009,Illinois College,Soccer,Men,6,5
2009,Illinois College,Cross Country,Men,2,9
2009,Illinois College,Basketball,Men,5.5,5
2009,Illinois College,Swimming,Men,2,9
2009,Illinois College,Indoor Track & Field,Men,6,5
2009,Illinois College,Tennis,Men,2,9
2009,Illinois College,Outdoor Track & Field,Men,5,6
2009,Illinois College,Baseball,Men,7,4
2009,Illinois College,Total,Men,48.5,6
2009,Knox College,Football,Men,1.5,9
2009,Knox College,Soccer,Men,1,10
2009,Knox College,Cross Country,Men,3,8
2009,Knox College,Basketball,Men,1,10
2009,Knox College,Swimming,Men,3,8
2009,Knox College,Indoor Track & Field,Men,4,7
2009,Knox College,Tennis,Men,4,7
2009,Knox College,Outdoor Track & Field,Men,3,8
2009,Knox College,Baseball,Men,3.5,7
2009,Knox College,Total,Men,32,10
2009,Lake Forest College,Football,Men,3.5,7
2009,Lake Forest College,Soccer,Men,4,7
2009,Lake Forest College,Cross Country,Men,1,10
2009,Lake Forest College,Basketball,Men,9,2
2009,Lake Forest College,Swimming,Men,9,2
2009,Lake Forest College,Tennis,Men,9,2
2009,Lake Forest College,Total,Men,35.5,9
2009,Lawrence University,Football,Men,1.5,9
2009,Lawrence University,Soccer,Men,3,8
2009,Lawrence University,Cross Country,Men,5,6
2009,Lawrence University,Basketball,Men,5.5,5
2009,Lawrence University,Swimming,Men,7,4
2009,Lawrence University,Indoor Track & Field,Men,3,8
2009,Lawrence University,Tennis,Men,8,3
2009,Lawrence University,Outdoor Track & Field,Men,2,9
2009,Lawrence University,Baseball,Men,2,9
2009,Lawrence University,Total,Men,40,8
2009,Monmouth College,Football,Men,10,1
2009,Monmouth College,Soccer,Men,2,9
2009,Monmouth College,Cross Country,Men,8,3
2009,Monmouth College,Basketball,Men,2,9
2009,Monmouth College,Swimming,Men,8,3
2009,Monmouth College,Indoor Track & Field,Men,10,1
2009,Monmouth College,Tennis,Men,5,6
2009,Monmouth College,Outdoor Track & Field,Men,10,1
2009,Monmouth College,Baseball,Men,5.5,5
2009,Monmouth College,Total,Men,70.5,2
2009,Ripon College,Football,Men,8,3
2009,Ripon College,Soccer,Men,5,6
2009,Ripon College,Cross Country,Men,9,2
2009,Ripon College,Basketball,Men,7.5,3
2009,Ripon College,Swimming,Men,4,7
2009,Ripon College,Indoor Track & Field,Men,7,4
2009,Ripon College,Tennis,Men,3,8
2009,Ripon College,Outdoor Track & Field,Men,6,5
2009,Ripon College,Baseball,Men,10,1
2009,Ripon College,Total,Men,64.5,5
2009,St. Norbert College,Football,Men,9,2
2009,St. Norbert College,Soccer,Men,8,3
2009,St. Norbert College,Cross Country,Men,7,4
2009,St. Norbert College,Basketball,Men,10,1
2009,St. Norbert College,Indoor Track & Field,Men,9,2
2009,St. Norbert College,Tennis,Men,7,4
2009,St. Norbert College,Outdoor Track & Field,Men,7,4
2009,St. Norbert College,Baseball,Men,8,3
2009,St. Norbert College,Total,Men,69,3
2009,Beloit College,Volleyball,Women,9,2
2009,Beloit College,Soccer,Women,4,7
2009,Beloit College,Cross Country,Women,6,5
2009,Beloit College,Basketball,Women,4.5,6
2009,Beloit College,Swimming,Women,5,6
2009,Beloit College,Indoor Track & Field,Women,7,4
2009,Beloit College,Tennis,Women,9,2
2009,Beloit College,Outdoor Track & Field,Women,4,7
2009,Beloit College,Total,Women,50,7
2009,Carroll University,Volleyball,Women,3,7
2009,Carroll University,Soccer,Women,10,1
2009,Carroll University,Cross Country,Women,9,2
2009,Carroll University,Basketball,Women,4.5,6
2009,Carroll University,Swimming,Women,8,3
2009,Carroll University,Indoor Track & Field,Women,9,2
2009,Carroll University,Tennis,Women,6,5
2009,Carroll University,Outdoor Track & Field,Women,9,2
2009,Carroll University,Total,Women,72,2
2009,Grinnell College,Volleyball,Women,7,3
2009,Grinnell College,Soccer,Women,5.5,5
2009,Grinnell College,Cross Country,Women,10,1
2009,Grinnell College,Basketball,Women,2,9
2009,Grinnell College,Swimming,Women,10,1
2009,Grinnell College,Indoor Track & Field,Women,2,9
2009,Grinnell College,Tennis,Women,8,3
