0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg Fall Invite,"Sep 27-28, 2019",1.5,54-100=154,+46,31st/33
SLIAC Preview,"Oct 13, 2019",1,97,+25,t-42nd/0
SEASON TOTALS,SEASON TOTALS,2.5,251 Avg. 100.4,+28,-
