Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"October 1, 2021 (Friday)",TBA,Away,ITA Regionals,"St. Peter, MN",,,,No Team Score,RecapITA Results
"October 1, 2021 (Friday)",TBA,Away,Midwest Open,"St. Peter, Minn.",,,,No Team Score,Results
"February 5, 2022 (Saturday)",9:00 a.m.,Home,Grand View University,"Grinnell, IA",,,,"W,9-0",RecapResults
"February 5, 2022 (Saturday)",5:00 p.m.,Home,Central College,"Grinnell, IA",,,,"W,8-1",RecapResults
"February 12, 2022 (Saturday)",1:00 p.m.,Neutral,Luther College,"Whitewater, WI",,,UW-Whitewater Invite,"L,3-6",RecapResults
"February 12, 2022 (Saturday)",5:00 p.m.,Neutral,Wheaton College (Ill.),"Whitewater, WI",,,UW-Whitewater Invite,"L,3-6",RecapResults
"February 13, 2022 (Sunday)",1:30 p.m.,Away,University of Wisconsin-Whitewater,"Whitewater, WI",,,UW-Whitewater Invite,"L,0-9",RecapResults
"February 18, 2022 (Friday)",5:30 p.m.,Away,Gustavus Adolphus College,"St. Peter, MN",,,,"L,1-8",RecapResults
"February 19, 2022 (Saturday)",12:45 p.m.,Neutral,Carleton College,"Rochester, MN",,,,"L,2-7",RecapResults
"February 26, 2022 (Saturday)",2:00 p.m.,Home,Augustana College (IL),"Grinnell, IA",,,,"W,9-0",RecapResults
"March 5, 2022 (Saturday)",10:00 a.m.,Away,Coe College,"Cedar Rapids, IA",,,,"L,3-6",RecapResults
"March 21, 2022 (Monday)",11:30 a.m. (EDT),Neutral,Hope College,"Orlando, FL (USTA Campus)",,,,"W,8-1",RecapResults
"March 22, 2022 (Tuesday)",Noon (EDT),Neutral,Hamilton College,"Orlando, FL (Lake Cane)",,,,"W,6-3",RecapResults
"March 23, 2022 (Wednesday)",11:30 a.m. (EDT),Neutral,Hobart College,"Orlando, FL (USTA Campus)",,,,"L,4-5",RecapResults
"March 25, 2022 (Friday)",10 a.m. (EDT),Neutral,Trinity College (Conn.),"Orlando, FL (USTA Campus)",,,,"L,4-5",RecapResults
"March 25, 2022 (Friday)",3 p.m. (EDT),Neutral,California Lutheran University,"Orlando, FL (USTA Campus)",,,,"L,3-6",RecapResults
"April 2, 2022 (Saturday)",3:00 p.m.,Home,Lake Forest College,"Grinnell, IA/10th Avenue Courts",,,,"W,7-2",RecapResults
"April 3, 2022 (Sunday)",2:00 p.m.,Home,Cornell College,"Grinnell, IA/10th Avenue Courts",,,,"W,9-0",RecapResults
"April 9, 2022 (Saturday)",9:00 a.m.,Away,Ripon College,"Ripon, WI",,,,"W,9-0",RecapResults
"April 9, 2022 (Saturday)",2:00 p.m.,Away,Lawrence University,"Appleton, WI",,,,"W,8-1",RecapResults
"April 9, 2022 (Saturday)",3:30 p.m.,Away,Washington University in St. Louis,"St. Louis, MO (WashU Campus)",,,,"L,1-8",RecapResults
"April 16, 2022 (Saturday)",9:00 a.m.,Home,Monmouth College,"Grinnell, IA/10th Avenue Courts",,,,"W,9-0",RecapResults
"April 16, 2022 (Saturday)",3:00 p.m.,Home,Illinois College,"Grinnell, IA/10th Avenue Courts",,,,"W,9-0",RecapResults
"April 16, 2022 (Saturday)",3:30 p.m.,Away,Midland University,"Fremont, Nebraska",,,,"L,3-6",RecapResults
"April 17, 2022 (Sunday)",10 a.m.,Home,University of Wisconsin-Eau Claire,"Grinnell, IA",,,,"W,7-2",RecapResults
"April 22, 2022 (Friday)",9 a.m.,Neutral,Cornell College (Semifinal),"Middleton, WI (Hitters SportsPlex)",,,2022 Midwest Conference Team Tournament,"W,5-0",RecapResults
"April 22, 2022 (Friday)",2:15 p.m.,Neutral,Lake Forest College (Championship),"Middleton, WI (Hitters SportsPlex)",,,2022 Midwest Conference Team Tournament,"W,5-1",RecapResults
"April 23, 2022 (Saturday)",,Neutral,Singles Tournament,"Middleton, WI (Hitters SportsPlex)",,,2022 Midwest Conference Individual Tournamen,No Team Score,RecapResults
"April 24, 2022 (Sunday)",,Neutral,Doubles Tournament,"Middleton, WI (Hitters SportsPlex)",,,2022 Midwest Conference Individual Tournamen,No Team Score,RecapResults
"May 13, 2022 (Friday)",1:30 p.m.,Neutral,Sewanee (First Round),"St. Louis, MO (Tao Tennis Center)",,,2022 NCAA D-III Men's Tennis Tournament,"L,0-5",RecapResults
