Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"October 14, 1893 (Saturday)",,Neutral,Doane University,,,,"W,8-4",
"September 29, 1894 (Saturday)",,Home,Iowa State,"Grinnell, IA",,,"W,14-0",
"October 6, 1894 (Saturday)",,Away,Simpson,"Indianola, IA",,,"W,54-0",
"October 13, 1894 (Saturday)",,Away,Minnesota,"Minneapolis, MN",,,"L,2-10",
"October 20, 1894 (Saturday)",,Away,Nebraska,"Lincoln, NE",,,"L,0-22",
"October 27, 1894 (Saturday)",,Neutral,Pastime Athletic Club,,,,"W,12-0",
"November 3, 1894 (Saturday)",,Neutral,Western,,,,"W,36-0",
"November 10, 1894 (Saturday)",,Away,Iowa,"Iowa City, IA",,,"L,0-6",
"November 17, 1894 (Saturday)",,Neutral,Rush,,,,"W,28-6",
"November 24, 1894 (Saturday)",,Neutral,Des Moines YMCA,,,,"L,4-6",
