0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Mount Mercy Dual,"Sep 18, 2016",1,76,+6,7th/12
Simpson Fall Invitational,"Oct 5, 2016",1,75,+4,t-7th/33
Pima CC Dual Meet,"Mar 23, 2017",1,74,+2,2nd/10
Prairie Fire Invitational,"Mar 31-Apr 1, 2017",2,75-77=152,+8,t-13th/100
Wartburg College Men's Spring Invite,"Apr 6, 2017",2,75-79=154,+10,t-15th/74
Augustana Spring Invitational,"Apr 14-15, 2017",2,76-76=152,+12,t-19th/112
Forester Spring Invite,"Apr 23, 2017",1,77,+5,t-7th/70
Midwest Conference Championship,"May 4-6, 2017",3,85-82-82=249,+33,t-17th/35
SEASON TOTALS,SEASON TOTALS,13,1009 Avg. 77.6,+6,-
