Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Carchidi, Eva",SR-4,25.3,Jim Duncan Invitational,"Apr 12, 2024",1.6
,"Carchidi, Eva",SR-4,25.55,Monmouth College Fighting Scots Invite,"May 4, 2024",1.3
,"Carchidi, Eva",SR-4,25.86,16th Annual PLNU Track and Field Invitational,"Mar 23, 2024",1.1
,"Crowe, Maile",JR-3,27.5,Central College Dutch Invitational 2024,"Mar 28, 2024",-0.2
,"Taylor, Ava",JR-3,28.01,16th Annual PLNU Track and Field Invitational,"Mar 23, 2024",1.5
,"Thompson, Klaire",FR-1,28.18,Monmouth College Fighting Scots Invite,"May 4, 2024",1.3
,"Thompson, Klaire",FR-1,28.86,16th Annual PLNU Track and Field Invitational,"Mar 23, 2024",1.2
,"Leonard, Millie",FR-1,29.03,2024 Kip Janvrin Open,"Apr 25, 2024",1.4
,"Phillips, KaLanna",FR-1,29.51,Monmouth College Fighting Scots Invite,"May 4, 2024",1.8
,"Thompson, Klaire",FR-1,29.72,2024 Kip Janvrin Open,"Apr 25, 2024",1.4
,"Phillips, KaLanna",FR-1,29.82,2024 Kip Janvrin Open,"Apr 25, 2024",1.7
,"Phillips, KaLanna",FR-1,30.55,Midwest Conference Outdoor Championships,"May 10, 2024",-0.9
