Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/12/2015,Beloit College,3,106,35.3,53,0,1,0,1,1,0-0,,0,7,391,55.86,2,1
9/19/2015,Luther College,1,40,40.0,40,0,0,0,0,1,0-1,0.0,0,9,507,56.33,0,0
9/26/2015,Macalester,3,112,37.3,40,0,0,1,0,0,0-0,,0,7,387,55.29,1,0
10/3/2015,Lawrence University,3,105,35.0,39,0,0,1,0,1,2-2,34.0,0,5,254,50.8,1,0
10/10/2015,Cornell College,4,123,30.8,41,0,0,0,0,2,0-0,,0,10,495,49.5,1,2
10/17/2015,Illinois College,1,6,6.0,6,0,0,0,0,0,0-0,,0,13,574,44.15,0,2
10/24/2015,Knox College,1,9,9.0,9,0,0,0,0,0,0-0,,0,5,265,53.0,1,0
10/31/2015,Monmouth College,2,81,40.5,45,0,0,0,0,2,1-2,50.0,0,8,499,62.38,3,0
11/7/2015,Lake Forest College,1,39,39.0,39,0,0,1,0,0,0-0,,0,9,528,58.67,1,1
11/14/2015,Lawrence University,6,140,19.5,39,0,0,1,0,1,0-0,,0,5,212,42.4,0,0
