Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/12/2015,Beloit College,4,158,39.5,42,0,0,1,0,0,1-1,49.0,0,5,307,61.4,2,0
9/19/2015,Luther College,11,439,39.9,56,0,1,2,1,1,0-0,,0,1,65,65.0,0,0
9/26/2015,Macalester,4,201,50.2,57,0,1,1,2,2,0-0,,0,3,196,65.33,1,0
10/3/2015,Lawrence University,5,194,38.8,45,0,0,0,0,2,0-1,0.0,0,4,259,64.75,3,0
10/10/2015,Cornell College,9,367,40.8,51,0,0,0,1,2,0-2,0.0,2,2,136,68.0,1,0
10/17/2015,Illinois College,6,269,44.8,55,0,0,1,2,3,1-3,42.0,1,3,190,63.33,0,0
10/24/2015,Knox College,2,80,40.0,49,0,0,0,0,0,2-2,26.0,0,4,258,64.5,2,0
10/31/2015,Monmouth College,11,431,39.2,56,0,0,0,1,0,0-0,,0,1,65,65.0,1,0
11/7/2015,Lake Forest College,5,201,40.2,46,0,0,0,0,0,1-2,20.0,1,4,228,57.0,0,0
11/14/2015,Lawrence University,6,286,47.7,68,0,1,2,2,2,0-1,0.0,0,6,359,59.83,0,0
