#,Player,GP,Rating,COMP,ATT,INT,%,YDS,TD,Long,AVG/G,Bio Link
1.0,"Poulos, Sam 1 Poulos, Sam",9,122.11,149,250,3,59.60 %,1421,13,67,157.89,View Bio
20.0,"Jones, TR 20 Jones, TR",10,69.36,16,49,3,32.65 %,207,2,61,20.7,View Bio
13.0,"Sandoval, Emmi 13 Sandoval, Emmi",10,0.0,0,1,0,0.00 %,0,0,0,0.0,View Bio
,Total,10,113.08,165,300,6,55.00 %,1628,15,67,162.8,
,Opponents,10,165.11,172,254,1,67.72 %,2183,20,89,218.3,
