Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
9/12/2015,Beloit College,L,31-41,4,3,21,3,0,3,0,0,1,0,0,0,0
9/19/2015,Luther College,L,0-56,0,0,0,0,0,0,0,0,0,0,0,0,0
9/26/2015,Macalester,L,13-41,2,1,6,1,1,0,0,0,1,0,0,0,0
10/3/2015,Lawrence University,W,28-20,3,2,14,2,1,1,0,1,0,0,0,0,0
10/10/2015,Cornell College,L,6-60,1,1,6,1,0,1,0,0,0,0,0,0,0
10/17/2015,Illinois College,L,10-83,2,1,7,1,0,1,0,0,0,0,1,0,0
10/24/2015,Knox College,L,12-26,4,3,12,1,1,0,2,0,1,0,0,0,0
10/31/2015,Monmouth College,L,0-52,0,0,0,0,0,0,0,0,0,0,0,0,0
11/7/2015,Lake Forest College,L,10-54,3,2,10,1,0,1,1,1,0,0,0,0,0
11/14/2015,Lawrence University,W,34-27,5,3,19,3,0,3,0,1,0,1,0,0,0
,TOTALS,,,24,16,95,13,3,10,3,3,3,1,1,0,0
