Statistic,GRINNELL COLLEGE,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,14.40,46.00
Total TOT,144,460
First Downs,First Downs,First Downs
Rushing RUSH,53,149
Passing PASS,79,93
Penalty PEN,11,12
Total TOT,143,254
Rushing,Rushing,Rushing
Yards Gained YDS,1043,3370
Yards Lost YDL,273,169
Attempts ATT,308,457
Average Per Attempt AVG/ATT,2.5,7.0
Avg. Per Game AVG/G,77.0,320.1
Touchdowns TDS,3,43
Total TOT,770,3201
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,300-165-6,254-172-1
Avg. Per Attempt AVG/ATT,5.43,8.59
Avg. Per Game AVG/G,162.80,218.30
Touchdowns TDS,15,20
Total TOT,1628,2183
Total Offense,Total Offense,Total Offense
Total Plays TOT,608,711
Avg. Per Play AVG/P,3.9,7.6
Avg. Per Game AVG/G,239.8,538.4
Total Yards TOT YDS,2398,5384
Touchdowns TDS,19,66
Returns,Returns,Returns
Kickoff: Average KO: AVG,16.42,25.43
Kickoff: Total KO: TOT,59-969,23-585
Punt: Average P: AVG,8.00,13.62
Punt: Total P: TOT,4-32,29-395
INT: Average INT: AVG,20.00,13.67
INT: Total INT: TOT,1-20,6-82
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,41.68,30.44
Punt: Net Average P: Net AVG,34.46,28.36
Punt: Total Yards P: YDS,63-2626,25-761
FG: Good-Attempts FG: FGM-FGA,5-12,3-5
Onside Kicks Onside K,0-1,0-0
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,26.50,54.40
Total-Yards TOT/YDS,32-265,61-544
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,28:26,31:34
Total TOT,04:44:22,05:15:38
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,48-143 (33.57 %),62-118 (52.54 %)
4th Down Conversions 4th %,9-18 (50.00 %),16-22 (72.73 %)
Fumbles-Lost FUM-Lost,10-7,20-9
Sacks-Yards Lost SCK YDS,4-32,28-139
PAT: Good-Attempts PAT,13-16,51-64
Misc. Yards MISC YDS,-5,5
Red Zone: Attempts-Scores RZ: ATT-Score,16-24,40-48
Red Zone: Touchdowns RZ: TDS,13-24,38-48
