Stat,Value,Player/Opponent
Rushes,40,vs Beloit College (9/12/2015)
Yards Rushing,137,vs Knox College (10/24/2015)
TD Rushes,1,vs Lawrence University (10/3/2015)
Pass Attempts,41,vs Lake Forest College (11/7/2015)
Pass Completions,24,vs Lake Forest College (11/7/2015)
Yards Passing,269,vs Lawrence University (11/14/2015)
TD Passes,5,vs Lawrence University (11/14/2015)
