Date,Opponent,Result,Score,Record,Duration,Attendance
9/12/2015,vs Beloit College,L,31-41,0-1,2:45,250
9/19/2015,vs Luther College,L,0-56,0-2,2:42,301
9/26/2015,at Macalester,L,13-41,0-3,2:50,382
10/3/2015,vs Lawrence University,W,28-20,1-3,3:00,120
10/10/2015,at Cornell College,L,6-60,"1-4 , 0-1",2:53,1110
10/17/2015,at Illinois College,L,10-83,"1-5 , 0-2",2:56,1104
10/24/2015,vs Knox College,L,12-26,"1-6 , 0-3",2:27,351
10/31/2015,at Monmouth College,L,0-52,"1-7 , 0-4",2:11,500
11/7/2015,vs Lake Forest College,L,10-54,"1-8 , 0-5",2:47,311
11/14/2015,at Lawrence University,W,34-27,2-8,3:09,478
,,,,,,4907
