#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
54,"Slager, Ryan 54 Slager, Ryan",10,45,89,134.0,2.0-7,1.0-5,0,0,0,0,0,0,0,View Bio
34,"Morrissette, Ba 34 Morrissette, Ba",10,37,57,94.0,6.5-16,0.5-6,0,0,0,2,1,0,0,
16,"Hoover, Kent 16 Hoover, Kent",10,50,37,87.0,0.5-3,0-0,0,2,0,1,0,0,0,View Bio
22,"Beecher, Jacob 22 Beecher, Jacob",8,33,33,66.0,4.5-20,1.0-9,0,1,0,0,1,0,0,View Bio
9,"Hardman, Edward 9 Hardman, Edward",9,22,33,55.0,1.5-7,1.0-7,0,0,0,1,2,0,0,View Bio
26,"Lim, Ben 26 Lim, Ben",10,31,21,52.0,2.0-16,0-0,0,2,0,1,0,0,0,View Bio
11,"Thompson, Hassan 11 Thompson, Hassan",10,10,31,41.0,1.5-21,0-0,0,1,0,0,1,1,0,View Bio
28,"Galaske, Joe 28 Galaske, Joe",10,30,10,40.0,3.5-11,0-0,1,8,0,0,0,0,0,View Bio
3,"Coleman, DJ 3 Coleman, DJ",10,13,22,35.0,0.5-1,0-0,0,0,0,0,0,0,0,View Bio
20,"Jones, TR 20 Jones, TR",10,17,15,32.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
10,"Pavoni, Vinny 10 Pavoni, Vinny",8,16,16,32.0,1.0-4,0-0,0,0,0,1,0,0,0,View Bio
4,"Keele, Jeff 4 Keele, Jeff",10,8,20,28.0,1.0-2,0-0,0,0,0,0,0,0,0,View Bio
33,"Howard, Luke 33 Howard, Luke",9,9,17,26.0,2.5-12,0.5-5,0,0,0,0,0,0,0,View Bio
35,"Ogasawara, Ibuki 35 Ogasawara, Ibuki",10,9,5,14.0,0-0,0-0,0,4,0,0,1,0,0,View Bio
51,"Drexler, Riley 51 Drexler, Riley",9,7,5,12.0,1.0-2,0-0,0,0,0,0,2,0,0,View Bio
66,"Medrano, Matt 66 Medrano, Matt",10,1,9,10.0,1.0-2,0-0,0,0,0,1,0,0,0,View Bio
15,"Ruzich, Greg 15 Ruzich, Greg",10,5,3,8.0,0-0,0-0,0,1,0,0,0,0,0,View Bio
TM,Team TM Team,7,8,0,8.0,3.0-6,0-0,0,0,0,2,3,4,0,
17,"Dunn, Carson 17 Dunn, Carson",10,5,2,7.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
65,"Riley, Cole 65 Riley, Cole",10,2,5,7.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
77,"Lahn, Ethan 77 Lahn, Ethan",10,2,4,6.0,1.0-3,0-0,0,0,0,0,0,0,0,View Bio
12,"Fisher, Graham 12 Fisher, Graham",10,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
14,"Rivera, Seb 14 Rivera, Seb",1,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,
88,"Henderson, Erik 88 Henderson, Erik",9,0,0,0.0,0-0,0-0,0,0,0,0,0,1,0,View Bio
,Total,10,362,434,796.0,33.0-133,4.0-32,1,19,0,9,11,6,0,
,Opponents,10,313,340,653.0,69.0-273,28.0-139,6,24,9,7,9,5,2,
