#,Player,GP,ATT,Gain,Loss,Net,AVG,TD,Long,AVG/G,Bio Link
1.0,"Poulos, Sam 1 Poulos, Sam",9,129,429,156,273,2.1,0,18,30.33,View Bio
17.0,"Dunn, Carson 17 Dunn, Carson",10,82,279,15,264,3.2,3,15,26.4,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",10,47,136,30,106,2.3,0,14,10.6,View Bio
44.0,"Rish, Blake 44 Rish, Blake",10,27,108,9,99,3.7,0,15,9.9,View Bio
20.0,"Jones, TR 20 Jones, TR",10,12,58,5,53,4.4,0,13,5.3,View Bio
13.0,"Sandoval, Emmi 13 Sandoval, Emmi",10,1,14,0,14,14.0,0,14,1.4,View Bio
88.0,"Henderson, Erik 88 Henderson, Erik",9,4,16,7,9,2.3,0,13,1.0,View Bio
15.0,"Ruzich, Greg 15 Ruzich, Greg",10,1,3,0,3,3.0,0,3,0.3,View Bio
,Team  Team,7,5,0,51,-51,-10.2,0,0,-7.29,
,Total,10,308,1043,273,770,2.5,3,18,77.0,
,Opponents,10,457,3370,169,3201,7.0,43,84,320.1,
