#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
12.0,"Fisher, Graham 12 Fisher, Graham",63,2626,41.68,68,3,7,12,9,0,View Bio
,Total,63,2626,41.68,68,3,7,12,9,0,
,Opponents,25,761,30.44,53,1,4,8,1,0,
