Stat,Value,Player/Opponent
Rushes,31.0,M. Dixon vs Beloit College (9/12/2015)
Yards Rushing,243.0,R. Butterfield vs Lawrence University (11/14/2015)
TD Rushes,4.0,M. Dixon vs Beloit College (9/12/2015)
Long Rush,84.0,Cross vs Illinois College (10/17/2015)
Pass Attempts,37.0,R. Butterfield vs Lawrence University (11/14/2015)
Pass Completions,28.0,Daniel Brown vs Cornell College (10/10/2015)
Yards Passing,341.0,Daniel Brown vs Cornell College (10/10/2015)
TD Passes,6.0,Daniel Brown vs Cornell College (10/10/2015)
Longest Pass,89.0,Christian Adams vs Macalester (9/26/2015)
Receptions,11.0,I. Emini vs Knox College (10/24/2015)
Yards Receiving,131.0,I. Emini vs Knox College (10/24/2015)
TD Receptions,2.0,M. Hemmingsen vs Knox College (10/24/2015)
,2.0,Ben Knake vs Cornell College (10/10/2015)
,2.0,Webb vs Illinois College (10/17/2015)
,2.0,Uyetake vs Illinois College (10/17/2015)
Longest Reception,89.0,Victor Bordo vs Macalester (9/26/2015)
Field Goals,2.0,Pat O'Mahoney vs Lawrence University (10/3/2015)
Longest Field Goal,50.0,Danny Muzzalupo vs Monmouth College (10/31/2015)
Punts,4.0,Gabriel Noyce vs Cornell College (10/10/2015)
,4.0,R. Butterfield vs Lawrence University (11/14/2015)
Punting Average,40.5,Chandler Jones vs Monmouth College (10/31/2015)
Longest Punt,53.0,Sallee vs Beloit College (9/12/2015)
Longest Punt Return,58.0,Alex Sheppard vs Monmouth College (10/31/2015)
Longest Kickoff Return,70.0,Alex Pasiewicz vs Lake Forest College (11/7/2015)
Tackles,17.0,Endrina vs Beloit College (9/12/2015)
Interceptions,1.0,Jones vs Beloit College (9/12/2015)
,1.0,Luke Bishop vs Macalester (9/26/2015)
,1.0,Brandon Davis vs Cornell College (10/10/2015)
,1.0,Ellsworth vs Illinois College (10/17/2015)
,1.0,Ellis vs Illinois College (10/17/2015)
,1.0,Jake Gostisha vs Lawrence University (11/14/2015)
