Stat,Value,Player/Opponent
Rushes,19.0,Sam Poulos vs Luther College (9/19/2015)
Yards Rushing,63.0,Sam Poulos vs Knox College (10/24/2015)
TD Rushes,1.0,Carson Dunn vs Lawrence University (10/3/2015)
,1.0,Carson Dunn vs Knox College (10/24/2015)
,1.0,Carson Dunn vs Macalester (9/26/2015)
Long Rush,18.0,Sam Poulos vs Cornell College (10/10/2015)
Pass Attempts,41.0,Sam Poulos vs Lake Forest College (11/7/2015)
Pass Completions,24.0,Sam Poulos vs Lake Forest College (11/7/2015)
Yards Passing,269.0,Sam Poulos vs Lawrence University (11/14/2015)
TD Passes,5.0,Sam Poulos vs Lawrence University (11/14/2015)
Longest Pass,67.0,Sam Poulos vs Lawrence University (10/3/2015)
Receptions,9.0,Henry Cummings vs Lake Forest College (11/7/2015)
Yards Receiving,105.0,Henry Cummings vs Beloit College (9/12/2015)
TD Receptions,2.0,Emmi Sandoval vs Beloit College (9/12/2015)
,2.0,Emmi Sandoval vs Lawrence University (11/14/2015)
,2.0,Henry Cummings vs Lawrence University (11/14/2015)
Longest Reception,67.0,Henry Cummings vs Lawrence University (10/3/2015)
Field Goals,2.0,Graham Fisher vs Knox College (10/24/2015)
Longest Field Goal,49.0,Graham Fisher vs Beloit College (9/12/2015)
Punts,11.0,Graham Fisher vs Luther College (9/19/2015)
,11.0,Graham Fisher vs Monmouth College (10/31/2015)
Punting Average,50.2,Graham Fisher vs Macalester (9/26/2015)
Longest Punt,68.0,Graham Fisher vs Lawrence University (11/14/2015)
Longest Punt Return,20.0,Emmi Sandoval vs Lawrence University (11/14/2015)
Longest Kickoff Return,94.0,Emmi Sandoval vs Lawrence University (10/3/2015)
Tackles,19.0,Ryan Slager vs Knox College (10/24/2015)
Interceptions,1.0,Joe Galaske vs Lawrence University (11/14/2015)
