#,Player,NO,YDS,AVG,TD,Long,Bio Link
13.0,"Sandoval, Emmi 13 Sandoval, Emmi",4,32,8.0,0,20,View Bio
,Total,4,32,8.0,0,20,
,Opponents,29,395,13.62,1,58,
