Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
Beloit College,41-31,18/26,8/13,10/10,0/3,40-109 / 44-272,20-28-1 / 21-27-0,262/206,68-371 / 71-478,61/92,1/2
Luther College,56-0,5/21,1/20,4/1,0/0,34--1 / 53-509,9-21-0 / 2-3-0,57/34,55-56 / 56-543,160/98,2/4
Macalester,13-41,18/29,6/20,8/7,4/2,34-77 / 52-306,15-30-1 / 15-20-0,171/236,64-248 / 72-542,102/63,1/0
Lawrence University,28-20,18/22,8/11,9/9,1/2,33-118 / 42-210,17-26-0 / 16-30-0,183/141,59-301 / 72-351,111/37,0/1
Cornell College,6-60,11/30,2/17,7/13,2/0,28-33 / 43-399,16-35-1 / 28-33-0,174/341,63-207 / 76-740,112/104,1/0
Illinois College,10-83,14/39,5/23,7/16,2/0,29-132 / 57-484,13-37-2 / 22-32-0,119/419,66-251 / 89-903,130/129,5/1
Knox College,26-12,17/23,8/10,8/12,1/1,26-137 / 46-144,15-25-0 / 24-29-0,131/251,51-268 / 75-395,53/56,1/0
Monmouth College,0-52,6/21,2/11,4/10,0/0,30-11 / 36-267,14-21-0 / 18-21-0,69/216,51-80 / 57-483,82/127,0/0
Lake Forest College,54-10,15/21,7/12,8/8,0/1,27-50 / 43-291,24-41-0 / 11-22-0,193/148,68-243 / 65-439,117/242,1/1
Lawrence University,27-34,21/22,6/12,14/7,1/3,27-104 / 41-319,22-36-1 / 15-37-1,269/191,63-373 / 78-510,93/136,1/1
