#,Player,TD,FG,SAF,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,PTS,Bio Link
#,Player,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Bio Link
81.0,"Cummings, Henry 81 Cummings, Henry",6,0,0,0-0,0-0,1,0-0,0,38,View Bio
13.0,"Sandoval, Emmi 13 Sandoval, Emmi",6,0,0,0-0,0-0,0,0-0,0,36,View Bio
12.0,"Fisher, Graham 12 Fisher, Graham",0,5,0,13-16,0-0,0,0-0,0,28,View Bio
17.0,"Dunn, Carson 17 Dunn, Carson",4,0,0,0-0,0-0,0,0-0,0,24,View Bio
15.0,"Ruzich, Greg 15 Ruzich, Greg",2,0,0,0-0,0-0,0,0-0,0,12,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",1,0,0,0-0,0-1,0,0-0,0,6,View Bio
,Total,19,5,0,13-16,0-2,1,1-1,0,144,
,Opponents,66,3,2,51-64,0-2,0,0-0,0,460,
