#,Player,GP,NO,YDS,AVG,TD,Long,AVG/G,Bio Link
13.0,"Sandoval, Emmi 13 Sandoval, Emmi",10,38,458,12.05,5,61,45.8,View Bio
81.0,"Cummings, Henry 81 Cummings, Henry",10,36,456,12.67,6,67,45.6,View Bio
15.0,"Ruzich, Greg 15 Ruzich, Greg",10,30,301,10.03,2,46,30.1,View Bio
17.0,"Dunn, Carson 17 Dunn, Carson",10,25,202,8.08,1,31,20.2,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",10,25,156,6.24,1,25,15.6,View Bio
84.0,"Gabell, Jeff 84 Gabell, Jeff",10,8,47,5.88,0,9,4.7,View Bio
44.0,"Rish, Blake 44 Rish, Blake",10,1,11,11.0,0,11,1.1,View Bio
88.0,"Henderson, Erik 88 Henderson, Erik",9,2,-3,-1.5,0,2,-0.33,View Bio
,Total,10,165,1628,9.87,15,67,162.8,
,Opponents,10,172,2183,12.69,20,89,218.3,
