Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/1/2012,Carleton College,4,118,29.5,39,0,0,1,0,1,0-2,0.0,1,3,195,65.0,3,0
9/8/2012,Illinois College,7,265,37.9,53,0,0,1,1,3,0-0,,0,6,362,60.33,0,0
9/15/2012,Lake Forest College,3,89,29.7,45,0,0,0,0,1,0-0,,0,2,120,60.0,1,1
9/22/2012,Beloit College,4,156,39.0,46,0,0,0,0,1,2-4,50.0,1,4,237,59.25,2,0
10/6/2012,Monmouth College,8,295,36.9,45,0,1,1,0,3,0-0,,0,4,221,55.25,0,0
10/13/2012,Ripon College,3,98,32.7,35,0,0,2,0,1,2-2,38.0,0,3,180,60.0,1,0
10/20/2012,Carroll University,9,329,36.6,51,0,0,1,1,1,0-1,0.0,0,4,244,61.0,1,0
10/27/2012,Lawrence University,5,215,43.0,54,0,0,1,2,5,0-1,0.0,0,2,108,54.0,0,0
11/3/2012,St. Norbert College,10,349,34.9,51,0,0,4,1,0,2-2,40.0,0,4,221,55.25,0,1
11/10/2012,Cornell College,4,148,37.0,41,0,0,1,0,2,0-1,0.0,0,3,187,62.33,1,0
