Statistic,GRINNELL COLLEGE,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,16.90,25.40
Total TOT,169,254
First Downs,First Downs,First Downs
Rushing RUSH,52,90
Passing PASS,73,89
Penalty PEN,19,11
Total TOT,144,191
Rushing,Rushing,Rushing
Yards Gained YDS,1067,1948
Yards Lost YDL,441,279
Attempts ATT,347,404
Average Per Attempt AVG/ATT,1.8,4.1
Avg. Per Game AVG/G,62.6,166.9
Touchdowns TDS,3,17
Total TOT,626,1669
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,324-176-9,287-160-9
Avg. Per Attempt AVG/ATT,5.67,7.39
Avg. Per Game AVG/G,183.80,212.00
Touchdowns TDS,16,17
Total TOT,1838,2120
Total Offense,Total Offense,Total Offense
Total Plays TOT,671,691
Avg. Per Play AVG/P,3.7,5.5
Avg. Per Game AVG/G,246.4,378.9
Total Yards TOT YDS,2464,3789
Touchdowns TDS,22,36
Returns,Returns,Returns
Kickoff: Average KO: AVG,20.05,21.92
Kickoff: Total KO: TOT,40-802,24-526
Punt: Average P: AVG,6.12,9.91
Punt: Total P: TOT,17-104,11-109
INT: Average INT: AVG,23.33,13.89
INT: Total INT: TOT,9-210,9-125
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,36.18,34.71
Punt: Net Average P: Net AVG,33.91,32.24
Punt: Total Yards P: YDS,57-2062,42-1458
FG: Good-Attempts FG: FGM-FGA,6-13,2-5
Onside Kicks Onside K,0-4,0-0
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,43.70,52.80
Total-Yards TOT/YDS,55-437,61-528
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,31:24,30:06
Total TOT,05:13:56,05:01:04
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,47-163 (28.83 %),58-139 (41.73 %)
4th Down Conversions 4th %,11-31 (35.48 %),4-25 (16.00 %)
Fumbles-Lost FUM-Lost,12-7,17-12
Sacks-Yards Lost SCK YDS,16-93,41-246
PAT: Good-Attempts PAT,17-19,28-35
Misc. Yards MISC YDS,2,22
Red Zone: Attempts-Scores RZ: ATT-Score,13-25,26-37
Red Zone: Touchdowns RZ: TDS,10-25,24-37
