Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/1/2012,Carleton College,6,181,30.2,38,0,0,0,0,0,0-0,,0,3,150,50.0,0,0
9/8/2012,Illinois College,1,40,40.0,40,0,0,0,0,0,0-0,,0,8,354,44.25,0,0
9/15/2012,Lake Forest College,3,117,39.0,55,0,0,1,1,2,0-0,,0,6,335,55.83,0,0
9/22/2012,Beloit College,4,144,36.0,45,0,0,0,0,1,0-1,0.0,0,2,87,43.5,0,0
10/6/2012,Monmouth College,7,272,38.9,43,0,0,5,0,2,0-0,,0,2,110,55.0,0,0
10/13/2012,Ripon College,1,37,37.0,37,0,0,0,0,0,1-2,23.0,1,7,420,60.0,2,0
10/20/2012,Carroll University,5,159,31.8,37,0,0,1,0,3,0-0,,0,4,218,54.5,0,0
10/27/2012,Lawrence University,5,170,34.0,40,0,0,0,0,0,1-1,23.0,0,5,249,49.8,0,1
11/3/2012,St. Norbert College,7,216,18.0,57,1,0,0,1,2,0-0,,0,4,255,63.75,2,0
11/10/2012,Cornell College,3,122,40.7,59,0,0,1,1,0,0-1,0.0,1,6,311,51.83,1,1
