#,Player,TD,FG,SAF,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,PTS,Bio Link
#,Player,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Bio Link
5.0,"Weber, Cody 5 Weber, Cody",5,0,0,0-0,0-0,0,0-0,0,30,View Bio
28.0,"Schaid, TJ 28 Schaid, TJ",4,0,0,0-0,1-1,0,0-0,0,26,View Bio
42.0,"Munger, Daniel 42 Munger, Daniel",0,1,0,17-19,0-0,0,0-0,0,20,View Bio
14.0,"Meixler, Jacob 14 Meixler, Jacob",3,0,0,0-0,0-0,0,0-0,0,18,View Bio
12.0,"Fisher, Graham 12 Fisher, Graham",0,5,0,0-0,0-0,0,0-0,0,15,View Bio
21.0,"Hwang, Kevin 21 Hwang, Kevin",2,0,0,0-0,0-0,0,0-0,0,12,View Bio
7.0,"Poulos, Sam 7 Poulos, Sam",2,0,0,0-0,0-0,0,0-2,0,12,View Bio
80.0,"Campos, Jayson 80 Campos, Jayson",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
88.0,"Davies, Dalton 88 Davies, Dalton",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
45.0,"Feller, Colton 45 Feller, Colton",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
25.0,"Gustafson, Seth 25 Gustafson, Seth",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
8.0,"Jacobson, Max 8 Jacobson, Max",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
4.0,"Mann, Harnak 4 Mann, Harnak",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
,Total,22,6,0,17-19,1-1,0,0-2,0,169,
,Opponents,36,2,2,28-35,0-0,0,0-1,0,254,
