#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
12.0,"Fisher, Graham 12 Fisher, Graham",57,2062,36.18,54,1,12,18,5,0,View Bio
,Total,57,2062,36.18,54,1,12,18,5,0,
,Opponents,42,1458,34.71,59,0,8,10,3,1,
