#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
52,"Ternes, David 52 Ternes, David",10,48,55,103.0,11.5-33,3.5-20,0,2,0,4,3,0,0,View Bio
44,"Blumberg, Drew 44 Blumberg, Drew",9,44,28,72.0,2.5-5,0-0,4,8,0,0,1,0,0,View Bio
45,"Feller, Colton 45 Feller, Colton",10,32,33,65.0,6.5-21,0-0,1,1,0,1,1,0,0,View Bio
21,"Hwang, Kevin 21 Hwang, Kevin",10,30,28,58.0,1.5-3,0.5-1,0,9,0,2,0,1,0,View Bio
66,"Brinkman, Tom 66 Brinkman, Tom",10,16,30,46.0,4.0-9,2.5-6,0,0,1,2,0,1,0,View Bio
2,"Renteria, Rich 2 Renteria, Rich",10,18,27,45.0,7.0-37,3.0-21,1,0,1,1,2,0,0,
26,"Mertes, John 26 Mertes, John",10,21,19,40.0,5.0-19,0.5-3,0,1,0,0,0,0,0,View Bio
9,"Taylor, Brian 9 Taylor, Brian",7,15,23,38.0,9.0-47,4.0-31,0,0,0,1,0,0,0,View Bio
60,"Harris, Ki 60 Harris, Ki",10,14,20,34.0,1.5-4,1.0-3,0,0,0,0,0,0,0,View Bio
20,"Keller, Max 20 Keller, Max",10,21,10,31.0,0-0,0-0,1,3,0,0,0,0,0,View Bio
34,"Desjardin, Clay 34 Desjardin, Clay",9,14,16,30.0,3.0-7,0-0,0,0,0,0,0,0,0,
25,"Gustafson, Seth 25 Gustafson, Seth",10,18,11,29.0,1.0-2,0-0,1,5,0,0,0,0,0,View Bio
32,"Clark, Andrew 32 Clark, Andrew",10,16,11,27.0,0-0,0-0,1,2,0,0,0,0,0,View Bio
22,"Beecher, Jacob 22 Beecher, Jacob",9,10,6,16.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
42,"Munger, Daniel 42 Munger, Daniel",10,8,8,16.0,1.0-4,0-0,0,0,0,0,0,0,0,View Bio
27,"Ryerson, Daniel 27 Ryerson, Daniel",8,3,5,8.0,3.5-20,1.0-11,0,0,0,0,0,0,0,View Bio
63,"Guen-Murray, Edward 63 Guen-Murray, Edward",8,6,0,6.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
18,"Howard, Seth 18 Howard, Seth",4,1,4,5.0,0-0,0-0,0,1,0,0,0,0,0,View Bio
33,"Morrissette, Ba 33 Morrissette, Ba",9,3,2,5.0,0-0,0-0,0,0,0,0,0,0,0,
80,"Campos, Jayson 80 Campos, Jayson",10,3,0,3.0,0-0,0-0,0,0,0,0,0,1,0,View Bio
57,"Chadri, Isaac 57 Chadri, Isaac",10,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,
12,"Fisher, Graham 12 Fisher, Graham",10,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
62,"Kinsinger, Morg 62 Kinsinger, Morg",10,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,
14,"Meixler, Jacob 14 Meixler, Jacob",9,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
3,"Ramirez, Brendan 3 Ramirez, Brendan",7,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
24,"Reynolds, Daniel 24 Reynolds, Daniel",7,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
5,"Weber, Cody 5 Weber, Cody",5,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
8,"Jacobson, Max 8 Jacobson, Max",10,0,0,0.0,0-0,0-0,0,0,0,0,0,1,0,View Bio
TM,Team TM Team,6,0,0,0.0,0-0,0-0,0,0,0,1,0,0,0,
,Total,10,344,340,684.0,57.0-211,16.0-96,9,32,2,12,7,4,0,
,Opponents,10,379,262,641.0,82.0-356,41.0-246,9,20,10,7,7,2,2,
