Date,Opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Sacks,Sacks,Fumble,Fumble,Fumble,INT,INT,QBH,Pass Brup,Blkd Kick,SAF
Date,Opponent,Solo,AST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
9/1/2012,Carleton College,24,30,54,6.0,16,1.0,2,0,0,0,2,33,0,4,0,0
9/8/2012,Illinois College,30,44,74,2.0,3,0.0,0,1,1,0,2,50,0,4,0,0
9/15/2012,Lake Forest College,28,46,74,5.0,22,2.0,13,0,0,0,0,0,0,4,1,0
9/22/2012,Beloit College,35,22,57,8.0,19,0.0,0,1,4,0,1,14,0,3,0,0
10/6/2012,Monmouth College,23,50,73,5.0,10,1.0,3,0,0,0,1,0,0,4,0,0
10/13/2012,Ripon College,42,22,64,3.0,18,2.0,7,0,0,0,0,0,0,1,1,0
10/20/2012,Carroll University,45,24,69,4.0,30,2.0,21,1,1,23,2,73,0,4,0,0
10/27/2012,Lawrence University,34,42,76,7.0,29,2.0,11,1,1,0,0,0,0,3,0,0
11/3/2012,St. Norbert College,35,52,87,11.0,27,3.0,7,3,4,22,0,0,0,1,1,0
11/10/2012,Cornell College,48,8,56,6.0,37,3.0,32,0,1,0,1,40,2,4,1,0
