Stat,Value,Player/Opponent
Rushes,30.0,Lamont Williams vs Carroll University (10/20/2012)
Yards Rushing,225.0,Lamont Williams vs Carroll University (10/20/2012)
TD Rushes,3.0,Andy Zweber vs Carleton College (9/1/2012)
Long Rush,60.0,Lamont Williams vs Carroll University (10/20/2012)
Pass Attempts,48.0,Michael Bates vs Illinois College (9/8/2012)
Pass Completions,34.0,Michael Bates vs Illinois College (9/8/2012)
Yards Passing,580.0,Michael Bates vs Illinois College (9/8/2012)
TD Passes,7.0,Michael Bates vs Illinois College (9/8/2012)
Longest Pass,63.0,Pete Scaffidi vs Lake Forest College (9/15/2012)
Receptions,9.0,Ra'Shad Green vs Cornell College (11/10/2012)
Yards Receiving,164.0,Ra'Shad Green vs Cornell College (11/10/2012)
TD Receptions,2.0,Wes Graham vs Illinois College (9/8/2012)
,2.0,Justin Smith vs Lake Forest College (9/15/2012)
,2.0,Ra'Shad Green vs Cornell College (11/10/2012)
Longest Reception,63.0,Austin Sobey vs Lake Forest College (9/15/2012)
Field Goals,1.0,Cody Robel vs Lawrence University (10/27/2012)
,1.0,Jacob Gahart vs Ripon College (10/13/2012)
Longest Field Goal,23.0,Cody Robel vs Lawrence University (10/27/2012)
,23.0,Jacob Gahart vs Ripon College (10/13/2012)
Punts,7.0,Brik Wedekind vs Monmouth College (10/6/2012)
Punting Average,40.7,Ben Knake vs Cornell College (11/10/2012)
Longest Punt,59.0,Ben Knake vs Cornell College (11/10/2012)
Longest Punt Return,25.0,Myron Seabrook vs Cornell College (11/10/2012)
Longest Kickoff Return,53.0,Joe Green vs St. Norbert College (11/3/2012)
Tackles,14.0,Zach Heinrich vs Carleton College (9/1/2012)
,14.0,D. Mroczenski vs Ripon College (10/13/2012)
Interceptions,2.0,Paul Hoffer vs Carleton College (9/1/2012)
