Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
Carleton College,20-14,20/11,11/4,9/6,0/1,50-52 / 33-84,22-35-2 / 9-25-2,253/135,85-305 / 58-219,90/6,2/2
Illinois College,53-20,12/36,3/7,6/27,3/2,32--33 / 29-142,18-31-1 / 34-48-2,135/580,63-102 / 77-722,180/142,1/3
Lake Forest College,33-7,13/14,2/4,7/9,4/1,29-101 / 35-74,15-27-2 / 20-29-0,177/196,56-278 / 64-270,128/108,7/0
Beloit College,7-13,11/15,5/7,4/8,2/0,38-53 / 39-114,14-25-1 / 14-24-1,164/201,63-217 / 63-315,66/43,1/5
Monmouth College,21-7,17/15,4/8,12/7,1/0,35-47 / 32-142,28-35-0 / 16-34-1,240/125,70-287 / 66-267,38/71,0/1
Ripon College,21-37,18/24,8/17,6/4,4/2,36-125 / 54-336,13-27-1 / 6-12-0,130/60,63-255 / 66-396,161/49,1/0
Carroll University,20-21,10/18,4/14,4/2,2/2,25--6 / 55-299,17-32-1 / 6-18-2,171/76,57-165 / 73-375,166/133,1/3
Lawrence University,24-14,12/20,6/13,6/5,0/2,34-112 / 47-205,12-27-1 / 14-29-0,156/207,61-268 / 76-412,138/46,1/1
St. Norbert College,20-12,9/15,4/11,5/4,0/0,28-44 / 49-193,15-36-0 / 15-24-0,127/178,64-171 / 73-371,89/101,2/4
Cornell College,27-32,22/23,5/5,14/17,3/1,40-131 / 31-80,22-49-0 / 26-44-1,285/362,89-416 / 75-442,105/61,0/2
