Date,Opponent,Result,Score,Record,Duration,Attendance
9/1/2012,vs Carleton College,L,14-20,0-1,2:50,669
9/8/2012,vs Illinois College,L,20-53,"0-2 , 0-1",2:51,569
9/15/2012,vs Lake Forest College,L,7-33,"0-3 , 0-2",2:33,669
9/22/2012,at Beloit College,W,13-7,"1-3 , 1-2",2:30,500
10/6/2012,vs Monmouth College,W,21-7,"2-3 , 2-2",2:26,569
10/13/2012,at Ripon College,L,21-37,"2-4 , 2-3",2:51,507
10/20/2012,at Carroll University,L,20-21,"2-5 , 2-4",2.45,1731
10/27/2012,vs Lawrence University,L,14-24,"2-6 , 2-5",2:33,682
11/3/2012,vs St. Norbert College,L,12-20,"2-7 , 2-6",2:43,869
11/10/2012,at Cornell College,L,27-32,"2-8 , 2-7",3:19,895
,,,,,,7660
