#,Player,NO,YDS,AVG,TD,Long,Bio Link
28.0,"Schaid, TJ 28 Schaid, TJ",14,82,5.86,0,14,View Bio
21.0,"Hwang, Kevin 21 Hwang, Kevin",3,22,7.33,0,4,View Bio
,Total,17,104,6.12,0,14,
,Opponents,11,109,9.91,0,25,
