Date,Opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Sacks,Sacks,Fumble,Fumble,Fumble,INT,INT,QBH,Pass Brup,Blkd Kick,SAF
Date,Opponent,Solo,AST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
9/1/2012,Carleton College,46,40,86,11.0,68,3.0,36,1,0,0,2,0,0,2,1,0
9/8/2012,Illinois College,34,30,64,11.0,50,6.0,39,0,0,0,1,8,0,3,0,2
9/15/2012,Lake Forest College,32,24,56,3.0,9,2.0,8,5,5,0,2,108,0,2,0,0
9/22/2012,Beloit College,40,18,58,3.0,30,1.0,7,0,0,0,1,0,0,0,1,0
10/6/2012,Monmouth College,38,32,70,10.0,28,5.0,22,1,0,0,0,0,0,1,0,0
10/13/2012,Ripon College,35,34,69,6.0,21,4.0,18,0,0,0,1,5,0,3,0,0
10/20/2012,Carroll University,37,12,49,8.0,52,7.0,47,0,0,0,1,4,0,4,0,0
10/27/2012,Lawrence University,34,36,70,9.0,19,3.0,11,0,0,0,1,0,0,2,0,0
11/3/2012,St. Norbert College,29,20,49,10.0,38,6.0,28,0,2,0,0,0,0,2,0,0
11/10/2012,Cornell College,54,16,70,11.0,41,4.0,30,0,0,0,0,0,10,1,0,0
