Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/1/2012,Carleton College,33,84,3,14,9,135,0,39,135,0,39,0,0,0,0,1,6,0,6
9/8/2012,Illinois College,29,142,0,25,34,580,7,51,580,7,51,6,134,0,31,0,0,0,0
9/15/2012,Lake Forest College,35,74,1,13,20,196,2,63,196,2,63,0,0,0,0,0,0,0,0
9/22/2012,Beloit College,39,114,1,16,14,201,0,32,201,0,32,2,43,0,24,0,0,0,0
10/6/2012,Monmouth College,32,142,1,17,16,125,0,17,125,0,17,4,68,0,30,2,3,0,5
10/13/2012,Ripon College,54,336,5,56,6,60,0,23,60,0,23,2,43,0,22,1,1,0,1
10/20/2012,Carroll University,55,299,3,60,6,76,0,39,76,0,39,3,53,0,19,5,76,0,20
10/27/2012,Lawrence University,47,205,2,27,14,207,1,62,207,1,62,2,48,0,28,1,-2,0,0
11/3/2012,St. Norbert College,49,193,1,35,15,178,2,62,178,2,62,3,101,0,53,0,0,0,0
11/10/2012,Cornell College,31,80,0,25,26,362,5,46,362,5,46,2,36,0,25,1,25,0,25
