Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/1/2012,Carleton College,50,52,0,10,22,253,2,38,253,2,38,3,52,0,30,3,5,0,4
9/8/2012,Illinois College,32,-33,1,12,18,135,1,28,135,1,28,8,130,0,25,0,0,0,0
9/15/2012,Lake Forest College,29,101,0,12,15,177,1,27,177,1,27,6,120,0,37,1,8,0,8
9/22/2012,Beloit College,38,53,0,11,14,164,1,67,164,1,67,2,52,0,43,1,0,0,0
10/6/2012,Monmouth College,35,47,0,16,28,240,3,30,240,3,30,2,31,0,19,2,7,0,7
10/13/2012,Ripon College,36,125,0,18,13,130,2,23,130,2,23,5,148,0,48,1,13,0,13
10/20/2012,Carroll University,25,-6,0,6,17,171,2,55,171,2,55,4,67,0,19,1,3,0,3
10/27/2012,Lawrence University,34,112,0,39,12,156,2,68,156,2,68,4,94,0,28,4,44,0,14
11/3/2012,St. Norbert College,28,44,0,13,15,127,0,25,127,0,25,2,48,0,26,3,19,0,0
11/10/2012,Cornell College,40,131,2,51,22,285,2,42,285,2,42,4,60,0,20,1,5,0,5
