Stat,Value,Player/Opponent
Rushes,30,Tj Schaid vs Carleton College (9/1/2012)
Yards Rushing,111,Tj Schaid vs Lawrence University (10/27/2012)
TD Rushes,2,Sam Poulos vs Cornell College (11/10/2012)
Long Rush,51,Sam Poulos vs Cornell College (11/10/2012)
Pass Attempts,49,Sam Poulos vs Cornell College (11/10/2012)
Pass Completions,28,Sam Poulos vs Monmouth College (10/6/2012)
Yards Passing,285,Sam Poulos vs Cornell College (11/10/2012)
TD Passes,3,Sam Poulos vs Monmouth College (10/6/2012)
Longest Pass,68,Sam Poulos vs Lawrence University (10/27/2012)
Receptions,15,Cody Weber vs Monmouth College (10/6/2012)
Yards Receiving,171,Cody Weber vs Carleton College (9/1/2012)
TD Receptions,2,Cody Weber vs Carleton College (9/1/2012)
,2,Cody Weber vs Monmouth College (10/6/2012)
,2,Jacob Meixler vs Lawrence University (10/27/2012)
Longest Reception,68,Jacob Meixler vs Lawrence University (10/27/2012)
Field Goals,2,Graham Fisher vs St. Norbert College (11/3/2012)
,2,Graham Fisher vs Ripon College (10/13/2012)
Longest Field Goal,50,Graham Fisher vs Beloit College (9/22/2012)
Punts,10,Graham Fisher vs St. Norbert College (11/3/2012)
Longest Punt,54,Graham Fisher vs Lawrence University (10/27/2012)
Longest Punt Return,14,Tj Schaid vs Lawrence University (10/27/2012)
Longest Kickoff Return,48,Andrew Clark vs Ripon College (10/13/2012)
Tackles,15,David Ternes vs Monmouth College (10/6/2012)
,15,David Ternes vs Lawrence University (10/27/2012)
,15,David Ternes vs St. Norbert College (11/3/2012)
Interceptions,2,Drew Blumberg vs Carleton College (9/1/2012)
